Location,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality
Worldwide,3249022,418.0,1006112,230804,0.07103799235585355
United States,1092328,3315.0,128436,63538,0.05816751012516387
Spain,213435,4531.0,112050,24543,0.11499051233396584
Italy,205463,3411.0,75945,27967,0.13611696509833887
United Kingdom,171253,2578.0,0,26771,0.15632426877193392
Germany,163009,1960.0,117734,6623,0.040629658485114316
France,129581,1932.0,49476,24376,0.1881139981941797
Turkey,120204,1446.0,48886,3174,0.026405111310771688
Russia,106498,726.0,11619,1073,0.010075306578527296
Iran,94640,1136.0,75103,6028,0.06369399830938292
Brazil,85380,404.0,35935,5901,0.0691145467322558
China,84373,60.0,77610,4643,0.05502945254998637
Canada,53236,1402.0,21423,3184,0.059809151701855884
Belgium,48519,4210.0,11576,7594,0.15651600403965457
Netherlands,39316,2253.0,0,4795,0.12196052497710856
Peru,36976,1151.0,10405,1051,0.02842384249242752
India,33610,25.0,8373,1075,0.03198452841416245
Switzerland,29586,3446.0,23400,1423,0.048097072939904006
Portugal,25045,2437.0,1519,989,0.03948891994410062
Ecuador,24934,1428.0,1806,900,0.03609529156974412
Saudi Arabia,22753,665.0,3163,162,0.0071199402276622865
Sweden,21092,2041.0,0,2586,0.12260572728996776
Ireland,20612,4188.0,13386,1232,0.05977100718028333
Mexico,17799,141.0,2627,1732,0.09730883757514468
Pakistan,16473,75.0,4105,361,0.02191464821222607
Singapore,16169,2835.0,1188,15,0.0009277011565341084
Chile,16023,839.0,8580,227,0.014167134743805779
Israel,15870,1729.0,8412,219,0.01379962192816635
Austria,15450,1735.0,12907,584,0.03779935275080906
Japan,14305,114.0,3466,455,0.031807060468367704
Belarus,14027,1490.0,2386,89,0.006344906252227846
Qatar,13409,4881.0,1372,10,0.0007457677679170706
Poland,12877,336.0,3236,644,0.050011648675933836
United Arab Emirates,12481,1262.0,2429,105,0.008412787436904094
Romania,12240,631.0,4017,695,0.056781045751633986
South Korea,10765,208.0,9059,247,0.022944728286112402
Ukraine,10406,248.0,1238,261,0.025081683644051507
Indonesia,10118,38.0,1522,792,0.07827633919746986
Denmark,9158,1573.0,6546,452,0.049355754531557106
Serbia,9009,1294.0,1343,179,0.019869019869019868
Philippines,8488,78.0,1043,568,0.06691800188501414
Norway,7759,1446.0,0,210,0.02706534347209692
Czechia,7682,718.0,3314,236,0.030721166362926322
Bangladesh,7667,46.0,160,168,0.021912090778661797
Dominican Republic,6972,673.0,1301,301,0.04317269076305221
Australia,6762,263.0,5720,92,0.013605442176870748
Panama,6532,1548.0,576,188,0.02878138395590937
Colombia,6211,126.0,1411,278,0.04475929801964257
Malaysia,6002,183.0,4171,102,0.016994335221592802
South Africa,5647,96.0,2073,103,0.0182397733309722
Egypt,5537,55.0,1381,392,0.07079646017699115
Finland,4995,904.0,3000,211,0.04224224224224224
Morocco,4423,123.0,984,170,0.03843545105132263
Argentina,4415,98.0,1299,218,0.049377123442808604
Kuwait,4024,910.0,1539,26,0.0064612326043737576
Algeria,4006,93.0,1779,450,0.11233150274588118
Moldova,3897,1453.0,1182,119,0.030536309982037466
Luxembourg,3784,6164.0,3213,90,0.023784355179704016
Kazakhstan,3402,182.0,866,25,0.007348618459729571
Bahrain,3040,1970.0,1500,8,0.002631578947368421
Thailand,2954,44.0,2684,54,0.01828029790115098
Hungary,2775,284.0,581,312,0.11243243243243244
Greece,2591,242.0,1374,140,0.05403319181783095
Oman,2348,503.0,495,11,0.004684838160136286
Afghanistan,2171,67.0,260,64,0.02947950253339475
Iraq,2085,53.0,1375,93,0.04460431654676259
Croatia,2076,509.0,1348,69,0.033236994219653176
Ghana,2076,69.0,212,17,0.008188824662813102
Armenia,2066,699.0,929,32,0.015488867376573089
Uzbekistan,2031,60.0,1096,9,0.004431314623338257
Nigeria,1932,9.0,319,58,0.030020703933747412
Cameroon,1832,69.0,934,61,0.03329694323144105
Azerbaijan,1804,179.0,1325,24,0.013303769401330377
Iceland,1797,4933.0,1670,10,0.005564830272676683
Bosnia and Herzegovina,1757,532.0,727,69,0.03927148548662493
Estonia,1689,1271.0,249,52,0.03078744819419775
Bulgaria,1506,215.0,266,66,0.043824701195219126
Cuba,1501,134.0,681,61,0.04063957361758828
Guinea,1495,122.0,329,7,0.0046822742474916385
North Macedonia,1465,705.0,738,77,0.05255972696245734
Slovenia,1429,682.0,233,91,0.06368089573128062
Slovakia,1396,256.0,524,23,0.0164756446991404
Lithuania,1385,496.0,589,45,0.032490974729241874
Côte d'Ivoire,1275,49.0,574,14,0.010980392156862745
New Zealand,1129,227.0,1241,19,0.01682905225863596
Bolivia,1110,97.0,117,59,0.05315315315315315
Djibouti,1089,1010.0,642,2,0.0018365472910927456
Hong Kong,1038,138.0,846,4,0.0038535645472061657
Tunisia,994,85.0,305,41,0.04124748490945674
Senegal,933,58.0,334,9,0.00964630225080386
Latvia,858,450.0,348,15,0.017482517482517484
Cyprus,850,970.0,148,20,0.023529411764705882
Kosovo,799,445.0,249,22,0.02753441802252816
Albania,773,272.0,470,31,0.040103492884864166
Honduras,771,84.0,79,71,0.09208819714656291
Andorra,753,9711.0,468,42,0.055776892430278883
Kyrgyzstan,746,114.0,462,8,0.010723860589812333
Lebanon,725,106.0,150,24,0.03310344827586207
Costa Rica,719,142.0,323,6,0.008344923504867872
Niger,719,32.0,452,32,0.04450625869262865
