Location,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality
Worldwide,2971669,382.17,865733,206544,0.0695043761603328
United States,985975,2991.83,109311,55417,0.056205279038515174
Spain,219764,4665.86,98732,23190,0.1055222875448208
Italy,197675,3281.27,64928,26644,0.13478689768559504
Germany,157770,1897.43,103023,5976,0.037877923559612094
United Kingdom,152840,2300.58,0,20732,0.1356451190787752
France,124575,1857.22,44903,22856,0.18347180413405578
Turkey,110130,1324.39,29140,2805,0.025469899210024516
Iran,90481,1085.8,69657,5710,0.06310717167140062
Russia,87147,593.87,7346,794,0.009111042261925252
China,84338,60.15,77474,4642,0.05504043254523465
Brazil,62859,297.44,30152,4271,0.06794571978555179
Canada,46895,1234.76,17321,2560,0.054590041582258234
Belgium,46134,4003.14,10785,7094,0.15376945419863874
Netherlands,37845,2168.64,0,4475,0.1182454749636676
Switzerland,28978,3374.81,21800,1610,0.055559389881979435
India,27892,20.5,6185,872,0.03126344471533056
Peru,27517,856.39,8088,728,0.026456372424319512
Portugal,23864,2322.16,1329,903,0.03783942339926249
Ecuador,22719,1301.45,1366,576,0.025353228575201375
Ireland,19262,3913.85,9233,1087,0.056432353857335686
Sweden,18640,1803.85,550,2194,0.11770386266094421
Saudi Arabia,17522,512.07,2357,139,0.007932884373929916
Israel,15443,1682.24,6731,201,0.013015605776079778
Austria,15188,1706.02,12282,542,0.0356860679483803
Singapore,14423,2528.75,1060,12,0.0008320044373569993
Mexico,13842,109.36,2627,1305,0.09427828348504551
Japan,13441,106.72,2536,372,0.02767651216427349
Chile,13331,697.69,7024,189,0.014177481059185357
Pakistan,13323,60.79,3029,281,0.021091345792989567
Poland,11617,302.69,2265,535,0.046053197899629854
Romania,11036,568.71,3054,619,0.05608916274012323
South Korea,10738,207.38,8764,243,0.022629912460420936
Belarus,10463,1111.5,1695,72,0.006881391570295326
United Arab Emirates,10349,1046.37,1978,76,0.007343704705768673
Qatar,10287,3744.43,1012,10,0.000972100709633518
Ukraine,9009,215.12,864,220,0.02442002442002442
Indonesia,8882,33.28,1107,743,0.08365233055618104
Denmark,8575,1472.67,5805,422,0.04921282798833819
Serbia,8042,1154.84,1182,156,0.019398159661775678
Philippines,7579,69.86,862,501,0.06610370761314158
Norway,7527,1402.31,0,201,0.026703866082104424
Czechia,7404,692.35,2545,220,0.02971366828741221
Australia,6713,261.56,5558,83,0.012364069715477433
Dominican Republic,6135,592.28,910,278,0.045313773431132846
Malaysia,5780,176.55,3862,98,0.016955017301038062
Panama,5779,1369.82,369,165,0.028551652535040665
Bangladesh,5416,32.17,122,145,0.026772525849335302
Colombia,5379,108.9,1133,244,0.04536159137386131
Finland,4576,827.85,2500,190,0.041520979020979024
South Africa,4546,77.35,1473,87,0.01913770347558293
Egypt,4534,45.25,1176,317,0.06991618879576533
Morocco,4065,113.37,593,161,0.03960639606396064
Argentina,3879,86.32,1096,192,0.04949729311678268
Luxembourg,3723,6064.56,3104,88,0.0236368520010744
Moldova,3408,1270.82,895,96,0.028169014084507043
Algeria,3382,78.65,1508,425,0.12566528681253697
Kuwait,3075,695.68,806,20,0.0065040650406504065
Thailand,2931,44.08,2609,52,0.017741385192766974
Kazakhstan,2717,145.49,682,25,0.009201324990798674
Bahrain,2647,1715.16,1189,20,0.007555723460521345
Hungary,2583,264.31,498,280,0.10840108401084012
Greece,2517,234.69,577,134,0.05323798172427493
Croatia,2030,498.01,1103,55,0.027093596059113302
Oman,1998,428.32,333,10,0.005005005005005005
Uzbekistan,1869,54.8,765,8,0.004280363830925628
Iraq,1820,46.51,1263,87,0.0478021978021978
Iceland,1792,4919.56,1608,10,0.005580357142857143
Armenia,1746,590.36,833,28,0.016036655211912942
Azerbaijan,1645,163.4,1139,21,0.01276595744680851
Estonia,1643,1236.86,233,49,0.02982349360925137
Cameroon,1621,61.06,786,56,0.03454657618753856
Ghana,1550,51.19,155,11,0.0070967741935483875
Afghanistan,1531,47.51,207,50,0.032658393207054215
Bosnia and Herzegovina,1516,459.25,624,59,0.03891820580474934
Lithuania,1449,518.71,474,41,0.028295376121463076
Slovenia,1396,666.65,221,82,0.05873925501432665
North Macedonia,1386,667.27,500,61,0.04401154401154401
Slovakia,1379,252.73,394,18,0.01305293691080493
Cuba,1369,122.13,501,54,0.039444850255661065
Bulgaria,1348,192.57,206,56,0.04154302670623145
Nigeria,1273,6.18,239,40,0.031421838177533384
Côte d'Ivoire,1150,44.53,468,14,0.01217391304347826
New Zealand,1122,225.53,1180,19,0.01693404634581105
Hong Kong,1038,138.39,772,4,0.0038535645472061657
Djibouti,1023,948.65,411,2,0.0019550342130987292
Guinea,996,81.52,208,7,0.007028112449799197
Bolivia,950,82.83,50,80,0.08421052631578947
Tunisia,949,80.96,216,38,0.040042149631190724
Cyprus,817,932.75,148,17,0.0208078335373317
Latvia,812,425.84,267,12,0.014778325123152709
Kosovo,763,424.91,166,21,0.027522935779816515
Andorra,738,9517.3,344,40,0.05420054200542006
Albania,726,255.1,410,28,0.03856749311294766
Lebanon,707,103.58,145,24,0.033946251768033946
Niger,696,31.19,350,29,0.041666666666666664
Costa Rica,695,137.41,264,6,0.008633093525179856
Kyrgyzstan,682,104.39,370,8,0.011730205278592375
Senegal,671,41.4,283,8,0.011922503725782414
Burkina Faso,632,30.28,453,42,0.06645569620253164
Honduras,627,68.46,65,59,0.09409888357256778
Uruguay,596,169.39,370,14,0.02348993288590604
San Marino,538,16024.3,64,41,0.0762081784386617
Sri Lanka,523,23.99,120,7,0.01338432122370937
Palestine,495,99.46,83,2,0.00404040404040404
Georgia,486,130.52,149,6,0.012345679012345678
Guatemala,473,28.49,45,13,0.02748414376321353
Malta,448,907.69,249,4,0.008928571428571428
Jordan,447,41.97,337,7,0.015659955257270694
Democratic Republic of the Congo,442,4.94,50,28,0.06334841628959276
Somalia,436,27.43,10,23,0.052752293577981654
Taiwan,429,18.17,290,6,0.013986013986013986
Mali,389,19.48,112,23,0.05912596401028278
Kenya,355,7.46,106,14,0.03943661971830986
Mayotte,354,1547.29,0,4,0.011299435028248588
Mauritius,332,262.25,299,9,0.02710843373493976
Venezuela,325,10.09,137,10,0.03076923076923077
Montenegro,321,515.78,153,7,0.021806853582554516
Isle of Man,308,3696.86,243,18,0.05844155844155844
Jamaica,305,111.86,28,7,0.022950819672131147
Tanzania,300,5.37,48,10,0.03333333333333333
El Salvador,298,45.94,83,8,0.026845637583892617
Jersey,281,2631.09,170,19,0.06761565836298933
Vietnam,270,2.81,225,0,0.0
Equatorial Guinea,258,189.95,8,1,0.003875968992248062
Guernsey,247,3933.62,171,13,0.05263157894736842
Sudan,237,5.59,20,21,0.08860759493670886
Paraguay,228,31.88,85,9,0.039473684210526314
Maldives,214,571.01,17,0,0.0
Rwanda,191,15.44,92,0,0.0
Faroe Islands,187,3587.6,178,0,0.0
Gabon,176,81.01,30,3,0.017045454545454544
Martinique,170,438.02,0,14,0.08235294117647059
Guadeloupe,149,366.31,0,12,0.08053691275167785
Myanmar (Burma),146,2.69,10,5,0.03424657534246575
Gibraltar,141,4183.85,131,0,0.0
Brunei,138,311.93,121,1,0.007246376811594203
Liberia,124,27.71,25,12,0.0967741935483871
Madagascar,124,4.72,71,0,0.0
Ethiopia,123,1.25,41,3,0.024390243902439025
Cambodia,122,7.98,119,0,0.0
Trinidad and Tobago,115,84.31,0,8,0.06956521739130435
Bermuda,109,1702.41,39,5,0.045871559633027525
French Guiana,109,382.22,0,1,0.009174311926605505
Northern Cyprus,108,331.29,52,3,0.027777777777777776
Cape Verde,106,192.56,1,1,0.009433962264150943
Aruba,100,890.4,73,2,0.02
Togo,98,13.0,62,6,0.061224489795918366
Monaco,94,2454.31,35,4,0.0425531914893617
Sierra Leone,93,11.77,10,4,0.043010752688172046
Zambia,88,4.92,42,3,0.03409090909090909
Liechtenstein,83,2141.99,55,1,0.012048192771084338
The Bahamas,80,207.61,22,11,0.1375
Barbados,79,275.24,39,6,0.0759493670886076
Uganda,79,1.96,46,0,0.0
Mozambique,76,2.53,12,0,0.0
Sint Maarten,74,1822.03,33,13,0.17567567567567569
Guyana,74,94.54,12,8,0.10810810810810811
Haiti,74,6.39,7,6,0.08108108108108109
Cayman Islands,70,1063.62,8,1,0.014285714285714285
Benin,64,5.45,33,1,0.015625
Libya,61,8.88,18,2,0.03278688524590164
Eswatini,59,53.97,10,1,0.01694915254237288
French Polynesia,57,206.58,35,0,0.0
Guinea-Bissau,53,33.03,3,1,0.018867924528301886
Nepal,52,1.73,16,0,0.0
Chad,46,2.83,15,0,0.0
Macao,45,66.22,27,0,0.0
Syria,43,2.46,14,3,0.06976744186046512
Eritrea,39,11.15,11,0,0.0
Saint Martin,38,1063.06,0,3,0.07894736842105263
Mongolia,38,11.48,9,0,0.0
Malawi,34,1.78,4,3,0.08823529411764706
Zimbabwe,31,2.04,2,4,0.12903225806451613
Angola,26,0.84,6,2,0.07692307692307693
Timor-Leste,24,17.3,2,0,0.0
Antigua and Barbuda,24,248.83,0,3,0.125
Botswana,22,9.41,0,1,0.045454545454545456
Central African Republic,19,3.46,10,0,0.0
Laos,19,2.67,4,0,0.0
Belize,18,44.07,5,2,0.1111111111111111
Fiji,18,20.34,12,0,0.0
Grenada,18,160.71,7,0,0.0
New Caledonia,18,63.78,17,0,0.0
