Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Azerbaijan,2020-03-31,273.0,25.99,26.0,4.0,0.014652015,0.0,0.0
Azerbaijan,2020-04-01,298.0,28.37,26.0,5.0,0.016778523489932886,25.0,1.0
Azerbaijan,2020-04-02,359.0,34.18,26.0,5.0,0.013927576601671307,61.0,0.0
Azerbaijan,2020-04-03,400.0,38.08,26.0,5.0,0.0125,41.0,0.0
Azerbaijan,2020-04-07,641.0,63.67,44.0,7.0,0.0109204368174727,241.0,2.0
Azerbaijan,2020-04-10,926.0,91.98,104.0,9.0,0.009719222462203024,285.0,2.0
Azerbaijan,2020-04-11,991.0,98.44,159.0,10.0,0.010090817356205851,65.0,1.0
Azerbaijan,2020-04-12,1058.0,105.09,200.0,11.0,0.010396975425330813,67.0,1.0
Azerbaijan,2020-04-14,1148.0,114.03,289.0,12.0,0.010452961672473868,90.0,1.0
Azerbaijan,2020-04-17,1283.0,127.44,460.0,15.0,0.011691348402182384,135.0,3.0
Azerbaijan,2020-04-18,1340.0,133.11,528.0,15.0,0.011194029850746268,57.0,0.0
Azerbaijan,2020-04-20,1398.0,138.87,712.0,19.0,0.013590844062947069,58.0,4.0
Azerbaijan,2020-04-22,1480.0,147.01,865.0,20.0,0.013513513513513514,82.0,1.0
Azerbaijan,2020-04-23,1518.0,150.79,907.0,20.0,0.013175230566534914,38.0,0.0
Azerbaijan,2020-04-24,1548.0,153.77,948.0,20.0,0.012919896640826873,30.0,0.0
Azerbaijan,2020-04-25,1592.0,158.14,1013.0,21.0,0.013190954773869348,44.0,1.0
Azerbaijan,2020-04-26,1617.0,160.62,1080.0,21.0,0.012987012987012988,25.0,0.0
Azerbaijan,2020-04-27,1645.0,163.4,1139.0,21.0,0.01276595744680851,28.0,0.0
Azerbaijan,2020-04-28,1678.0,166.68,1162.0,22.0,0.013110846245530394,33.0,1.0
Azerbaijan,2020-04-29,1717.0,170.56,1221.0,22.0,0.0128130460104834,39.0,0.0
Azerbaijan,2020-04-30,1717.0,170.56,1221.0,22.0,0.0128130460104834,0.0,0.0
Azerbaijan,2020-05-01,1804.0,179.0,1325.0,24.0,0.013303769401330377,87.0,2.0
Azerbaijan,2020-05-02,1854.0,184.0,1365.0,25.0,0.01348435814455232,50.0,1.0
Azerbaijan,2020-05-03,1894.0,188.0,1411.0,25.0,0.013199577613516368,40.0,0.0
Azerbaijan,2020-05-04,1894.0,188.0,1411.0,25.0,0.013199577613516368,0.0,0.0
Azerbaijan,2020-05-05,1984.0,197.0,1480.0,26.0,0.01310483870967742,90.0,1.0
Azerbaijan,2020-05-06,2060.0,205.0,1508.0,26.0,0.01262135922330097,76.0,0.0
