Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
,2020-03-31,,,,,,0.0,0.0
Burundi,2020-04-01,2.0,0.22,0.0,0.0,0.0,,
Burundi,2020-04-02,2.0,0.22,0.0,0.0,0.0,0.0,0.0
Burundi,2020-04-03,3.0,0.33,0.0,0.0,0.0,1.0,0.0
Burundi,2020-04-07,3.0,0.27,0.0,0.0,0.0,0.0,0.0
Burundi,2020-04-10,3.0,0.27,0.0,0.0,0.0,0.0,0.0
Burundi,2020-04-11,3.0,0.27,0.0,0.0,0.0,0.0,0.0
Burundi,2020-04-12,3.0,0.27,0.0,0.0,0.0,0.0,0.0
Burundi,2020-04-14,5.0,0.46,0.0,1.0,0.2,2.0,1.0
Burundi,2020-04-17,5.0,0.46,0.0,1.0,0.2,0.0,0.0
Burundi,2020-04-18,5.0,0.46,0.0,1.0,0.2,0.0,0.0
Burundi,2020-04-20,5.0,0.46,0.0,1.0,0.2,0.0,0.0
Burundi,2020-04-22,5.0,0.46,0.0,1.0,0.2,0.0,0.0
Burundi,2020-04-23,11.0,1.0,4.0,1.0,0.09090909090909093,6.0,0.0
Burundi,2020-04-24,11.0,1.0,4.0,1.0,0.09090909090909093,0.0,0.0
Burundi,2020-04-25,11.0,1.0,4.0,1.0,0.09090909090909093,0.0,0.0
Burundi,2020-04-26,12.0,1.1,4.0,1.0,0.08333333333333333,1.0,0.0
Burundi,2020-04-27,12.0,1.1,4.0,1.0,0.08333333333333333,0.0,0.0
Burundi,2020-04-28,12.0,1.1,4.0,1.0,0.08333333333333333,0.0,0.0
Burundi,2020-04-29,15.0,1.37,4.0,1.0,0.06666666666666668,3.0,0.0
Burundi,2020-04-30,15.0,1.37,4.0,1.0,0.06666666666666668,0.0,0.0
Burundi,2020-05-01,15.0,1.0,4.0,1.0,0.06666666666666668,0.0,0.0
Burundi,2020-05-02,15.0,1.0,4.0,1.0,0.06666666666666668,0.0,0.0
Burundi,2020-05-03,15.0,1.0,7.0,1.0,0.06666666666666668,0.0,0.0
Burundi,2020-05-04,15.0,1.0,7.0,1.0,0.06666666666666668,0.0,0.0
Burundi,2020-05-05,19.0,2.0,7.0,1.0,0.05263157894736842,4.0,0.0
Burundi,2020-05-06,15.0,1.0,7.0,1.0,0.06666666666666668,0.0,0.0
Burundi,2020-05-07,15.0,1.0,7.0,1.0,0.06666666666666668,0.0,0.0
Burundi,2020-05-08,15.0,1.0,7.0,1.0,0.06666666666666668,0.0,0.0
Burundi,2020-05-09,15.0,1.0,7.0,1.0,0.06666666666666668,0.0,0.0
Burundi,2020-05-10,15.0,1.0,7.0,1.0,0.06666666666666668,0.0,0.0
Burundi,2020-05-11,15.0,1.0,7.0,1.0,0.06666666666666668,0.0,0.0
Burundi,2020-05-12,15.0,1.0,7.0,1.0,0.06666666666666668,0.0,0.0
Burundi,2020-05-13,15.0,1.0,7.0,1.0,0.06666666666666668,0.0,0.0
Burundi,2020-05-15,15.0,1.0,7.0,1.0,0.06666666666666668,0.0,0.0
Burundi,2020-05-16,15.0,1.0,7.0,1.0,0.06666666666666668,0.0,0.0
Burundi,2020-05-17,15.0,1.0,7.0,1.0,0.06666666666666668,0.0,0.0
Burundi,2020-05-18,23.0,2.0,11.0,1.0,0.043478260869565216,8.0,0.0
Burundi,2020-05-19,42.0,4.0,20.0,1.0,0.023809523809523808,19.0,0.0
Burundi,2020-05-20,42.0,4.0,20.0,1.0,0.023809523809523808,0.0,0.0
,2020-05-21,,,,,,,
Burundi,2020-05-22,42.0,4.0,20.0,1.0,0.023809523809523808,,
Burundi,2020-05-23,42.0,4.0,20.0,1.0,0.023809523809523808,0.0,0.0
Burundi,2020-05-24,42.0,4.0,20.0,1.0,0.023809523809523808,0.0,0.0
Burundi,2020-05-25,42.0,4.0,20.0,1.0,0.023809523809523808,0.0,0.0
Burundi,2020-05-26,42.0,4.0,20.0,1.0,0.023809523809523808,0.0,0.0
Burundi,2020-05-27,42.0,4.0,20.0,1.0,0.023809523809523808,0.0,0.0
Burundi,2020-05-28,42.0,4.0,20.0,1.0,0.023809523809523808,0.0,0.0
Burundi,2020-05-29,42.0,4.0,20.0,1.0,0.023809523809523808,0.0,0.0
Burundi,2020-05-30,42.0,4.0,20.0,1.0,0.023809523809523808,0.0,0.0
Burundi,2020-05-31,63.0,6.0,33.0,1.0,0.015873015873015872,21.0,0.0
Burundi,2020-06-01,63.0,6.0,33.0,1.0,0.015873015873015872,0.0,0.0
