Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Chad,2020-03-31,5.0,0.41,0.0,0.0,0.0,0.0,0.0
Chad,2020-04-01,7.0,0.57,0.0,0.0,0.0,2.0,0.0
Chad,2020-04-02,7.0,0.57,0.0,0.0,0.0,0.0,0.0
Chad,2020-04-03,7.0,0.57,0.0,0.0,0.0,0.0,0.0
Chad,2020-04-07,9.0,0.55,0.0,0.0,0.0,2.0,0.0
Chad,2020-04-10,11.0,0.68,9.0,0.0,0.0,2.0,0.0
Chad,2020-04-11,11.0,0.68,9.0,0.0,0.0,0.0,0.0
Chad,2020-04-12,11.0,0.68,9.0,0.0,0.0,0.0,0.0
Chad,2020-04-14,23.0,1.42,2.0,0.0,0.0,12.0,0.0
Chad,2020-04-17,27.0,1.66,5.0,0.0,0.0,4.0,0.0
Chad,2020-04-18,33.0,2.03,8.0,0.0,0.0,6.0,0.0
Chad,2020-04-20,33.0,2.03,8.0,0.0,0.0,0.0,0.0
Chad,2020-04-22,33.0,2.03,8.0,0.0,0.0,0.0,0.0
Chad,2020-04-23,34.0,2.09,8.0,0.0,0.0,1.0,0.0
Chad,2020-04-24,40.0,2.46,8.0,0.0,0.0,6.0,0.0
Chad,2020-04-25,40.0,2.46,8.0,0.0,0.0,0.0,0.0
Chad,2020-04-26,46.0,2.83,15.0,0.0,0.0,6.0,0.0
Chad,2020-04-27,46.0,2.83,15.0,0.0,0.0,0.0,0.0
Chad,2020-04-28,46.0,2.83,15.0,0.0,0.0,0.0,0.0
Chad,2020-04-29,52.0,3.2,19.0,2.0,0.038461538461538464,6.0,2.0
Chad,2020-04-30,52.0,3.2,19.0,2.0,0.038461538461538464,0.0,0.0
Chad,2020-05-01,73.0,4.0,33.0,5.0,0.0684931506849315,21.0,3.0
Chad,2020-05-02,73.0,4.0,33.0,5.0,0.0684931506849315,0.0,0.0
Chad,2020-05-03,117.0,7.0,39.0,10.0,0.08547008547008547,44.0,5.0
Chad,2020-05-04,117.0,7.0,39.0,10.0,0.08547008547008547,0.0,0.0
Chad,2020-05-05,117.0,7.0,39.0,10.0,0.08547008547008547,0.0,0.0
Chad,2020-05-06,170.0,10.0,43.0,17.0,0.1,53.0,7.0
Chad,2020-05-07,170.0,10.0,43.0,17.0,0.1,0.0,0.0
Chad,2020-05-08,170.0,10.0,43.0,17.0,0.1,0.0,0.0
Chad,2020-05-09,260.0,16.0,50.0,28.0,0.1076923076923077,90.0,11.0
Chad,2020-05-10,322.0,20.0,53.0,31.0,0.09627329192546584,62.0,3.0
Chad,2020-05-11,322.0,20.0,53.0,31.0,0.09627329192546584,0.0,0.0
Chad,2020-05-12,322.0,20.0,53.0,31.0,0.09627329192546584,0.0,0.0
Chad,2020-05-13,357.0,22.0,76.0,40.0,0.11204481792717087,35.0,9.0
Chad,2020-05-15,399.0,25.0,83.0,46.0,0.11528822055137845,42.0,6.0
Chad,2020-05-16,428.0,26.0,88.0,48.0,0.11214953271028036,29.0,2.0
Chad,2020-05-17,474.0,29.0,111.0,50.0,0.10548523206751056,46.0,2.0
Chad,2020-05-18,503.0,31.0,117.0,53.0,0.10536779324055666,29.0,3.0
