Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Czechia,2020-03-31,2976.0,279.44,25.0,23.0,0.007728495,0.0,0.0
Czechia,2020-04-01,3257.0,305.83,45.0,31.0,0.009517961314092724,281.0,8.0
Czechia,2020-04-02,3508.0,329.4,61.0,39.0,0.011117445838084378,251.0,8.0
Czechia,2020-04-03,3858.0,362.26,67.0,44.0,0.011404872991187144,350.0,5.0
Czechia,2020-04-07,4822.0,450.91,121.0,78.0,0.016175860638739114,964.0,34.0
Czechia,2020-04-10,5569.0,520.76,301.0,112.0,0.02011133057999641,747.0,34.0
Czechia,2020-04-11,5732.0,536.0,346.0,119.0,0.02076064200976972,163.0,7.0
Czechia,2020-04-12,5831.0,545.26,411.0,129.0,0.022123134968273023,99.0,10.0
Czechia,2020-04-14,6059.0,566.58,527.0,147.0,0.024261429278758868,228.0,18.0
Czechia,2020-04-17,6433.0,601.56,972.0,169.0,0.02627079123270636,374.0,22.0
Czechia,2020-04-18,6553.0,612.78,1183.0,176.0,0.02685792766671754,120.0,7.0
Czechia,2020-04-20,6746.0,630.82,1298.0,186.0,0.02757189445597391,193.0,10.0
Czechia,2020-04-22,7033.0,657.66,1753.0,201.0,0.02857955353334281,287.0,15.0
Czechia,2020-04-23,7132.0,666.92,1989.0,208.0,0.029164329781267526,99.0,7.0
Czechia,2020-04-24,7188.0,672.16,2186.0,213.0,0.02963272120200334,56.0,5.0
Czechia,2020-04-25,7273.0,680.1,2371.0,214.0,0.029423896603877363,85.0,1.0
Czechia,2020-04-26,7352.0,687.49,2453.0,218.0,0.02965179542981501,79.0,4.0
Czechia,2020-04-27,7404.0,692.35,2545.0,220.0,0.029713668287412214,52.0,2.0
Czechia,2020-04-28,7445.0,696.19,2834.0,223.0,0.02995298858294157,41.0,3.0
Czechia,2020-04-29,7504.0,701.71,2948.0,227.0,0.03025053304904051,59.0,4.0
Czechia,2020-04-30,7504.0,701.71,2948.0,227.0,0.03025053304904051,0.0,0.0
Czechia,2020-05-01,7682.0,718.0,3314.0,236.0,0.03072116636292632,178.0,9.0
Czechia,2020-05-02,7737.0,723.0,3359.0,240.0,0.03101977510663048,55.0,4.0
Czechia,2020-05-03,7755.0,725.0,3461.0,245.0,0.03159252095422308,18.0,5.0
Czechia,2020-05-04,7755.0,725.0,3461.0,245.0,0.03159252095422308,0.0,0.0
Czechia,2020-05-05,7819.0,731.0,3807.0,252.0,0.03222918531781558,64.0,7.0
Czechia,2020-05-06,7896.0,738.0,4006.0,257.0,0.03254812563323202,77.0,5.0
Czechia,2020-05-07,7974.0,746.0,4205.0,262.0,0.032856784549786806,78.0,5.0
Czechia,2020-05-08,8002.0,748.0,4369.0,269.0,0.03361659585103724,28.0,7.0
Czechia,2020-05-09,8077.0,755.0,4413.0,273.0,0.033799678098303816,75.0,4.0
Czechia,2020-05-10,8095.0,757.0,4447.0,276.0,0.03409512044471896,18.0,3.0
Czechia,2020-05-11,8123.0,760.0,4474.0,280.0,0.034470023390373014,28.0,4.0
Czechia,2020-05-12,8176.0,765.0,4711.0,282.0,0.03449119373776908,53.0,2.0
Czechia,2020-05-13,8223.0,769.0,4899.0,284.0,0.0345372735011553,47.0,2.0
Czechia,2020-05-15,8351.0,781.0,5241.0,293.0,0.03508561848880374,128.0,9.0
Czechia,2020-05-16,8406.0,786.0,5381.0,295.0,0.0350939804901261,55.0,2.0
Czechia,2020-05-17,8436.0,789.0,5422.0,296.0,0.03508771929824561,30.0,1.0
Czechia,2020-05-18,8475.0,793.0,5462.0,298.0,0.035162241887905614,39.0,2.0
Czechia,2020-05-19,8586.0,803.0,5641.0,297.0,0.034591194968553465,111.0,0.0
Czechia,2020-05-20,8647.0,809.0,5726.0,302.0,0.034925407655834385,61.0,5.0
,2020-05-21,,,,,,,
Czechia,2020-05-22,8743.0,818.0,5922.0,306.0,0.034999428113919706,,
Czechia,2020-05-23,8813.0,824.0,6025.0,312.0,0.035402246681039376,70.0,6.0
Czechia,2020-05-24,8890.0,831.0,6044.0,314.0,0.035320584926884134,77.0,2.0
Czechia,2020-05-25,8955.0,837.0,6078.0,315.0,0.035175879396984924,65.0,1.0
Czechia,2020-05-26,9002.0,842.0,6182.0,317.0,0.03521439680071095,47.0,2.0
Czechia,2020-05-27,9050.0,846.0,6270.0,317.0,0.03502762430939226,48.0,0.0
Czechia,2020-05-28,9086.0,850.0,6370.0,317.0,0.03488883997358574,36.0,0.0
Czechia,2020-05-29,9140.0,855.0,6460.0,319.0,0.03490153172866521,54.0,2.0
Czechia,2020-05-30,9196.0,860.0,6500.0,319.0,0.034688995215311005,56.0,0.0
Czechia,2020-05-31,9230.0,863.0,6546.0,319.0,0.03456121343445287,34.0,0.0
Czechia,2020-06-01,9257.0,866.0,6551.0,320.0,0.03456843469806633,27.0,1.0
Czechia,2020-06-02,9286.0,868.0,6642.0,321.0,0.034568167133318985,29.0,1.0
Czechia,2020-06-03,9364.0,876.0,6686.0,323.0,0.0345,78.0,2.0
Czechia,2020-06-04,9438.0,883.0,6749.0,324.0,0.0343,74.0,1.0
Czechia,2020-06-05,9494.0,888.0,6809.0,326.0,0.0343,56.0,2.0
Czechia,2020-06-06,9529.0,891.0,6881.0,327.0,0.0343,35.0,1.0
Czechia,2020-06-07,9567.0,895.0,6885.0,327.0,0.0342,38.0,0.0
Czechia,2020-06-08,9628.0,900.0,6891.0,327.0,0.034,61.0,0.0
Czechia,2020-06-09,9697.0,907.0,6994.0,328.0,0.0338,69.0,1.0
Czechia,2020-06-10,9751.0,912.0,7053.0,328.0,0.0336,54.0,0.0
Czechia,2020-06-12,9855.0,922.0,7166.0,328.0,0.0333,104.0,0.0
Czechia,2020-06-13,9938.0,929.0,7215.0,328.0,0.033,83.0,0.0
Czechia,2020-06-14,9960.0,931.0,7219.0,328.0,0.0329,22.0,0.0
Czechia,2020-06-15,9991.0,934.0,7219.0,328.0,0.0328,31.0,0.0
Czechia,2020-06-16,10044.0,939.0,7295.0,330.0,0.0329,53.0,2.0
Czechia,2020-06-17,10111.0,945.0,7358.0,331.0,0.0327,67.0,1.0
Czechia,2020-06-18,10162.0,950.0,7399.0,333.0,0.0328,51.0,2.0
Czechia,2020-06-19,10280.0,961.0,7440.0,334.0,0.0325,118.0,1.0
Czechia,2020-06-20,10406.0,973.0,7473.0,335.0,0.0322,126.0,1.0
Czechia,2020-06-21,10448.0,977.0,7477.0,336.0,0.0322,42.0,1.0
Czechia,2020-06-22,10463.0,978.0,7498.0,336.0,0.0321,15.0,0.0
Czechia,2020-06-23,10523.0,984.0,7537.0,336.0,0.0319,60.0,0.0
Czechia,2020-06-24,10650.0,996.0,7556.0,339.0,0.0318,127.0,3.0
Czechia,2020-06-25,10777.0,1008.0,7588.0,343.0,0.0318,127.0,4.0
Czechia,2020-06-26,10870.0,1016.0,7630.0,345.0,0.0317,93.0,2.0
Czechia,2020-06-27,11038.0,1032.0,7668.0,349.0,0.0316,168.0,4.0
Czechia,2020-06-28,11038.0,1032.0,7668.0,349.0,0.0316,0.0,0.0
Czechia,2020-06-29,11603.0,1085.0,7705.0,348.0,0.03,565.0,0.0
Czechia,2020-06-30,11805.0,1104.0,7746.0,348.0,0.0295,202.0,0.0
Czechia,2020-07-01,11954.0,1118.0,7771.0,349.0,0.0292,149.0,1.0
Czechia,2020-07-02,12006.0,1123.0,7797.0,349.0,0.0291,52.0,0.0
Czechia,2020-07-03,12178.0,1139.0,7822.0,353.0,0.028999999999999998,172.0,4.0
Czechia,2020-07-04,12319.0,1152.0,7848.0,352.0,0.0286,141.0,0.0
Czechia,2020-07-05,12440.0,1163.0,7852.0,351.0,0.0282,121.0,0.0
Czechia,2020-07-06,12515.0,1170.0,7864.0,348.0,0.0278,75.0,0.0
Czechia,2020-07-07,12566.0,1175.0,7873.0,350.0,0.0279,51.0,2.0
Czechia,2020-07-09,12775.0,1195.0,8005.0,351.0,0.0275,209.0,1.0
Czechia,2020-07-10,12814.0,1198.0,8010.0,351.0,0.0274,39.0,0.0
Czechia,2020-07-11,13062.0,1221.0,8209.0,352.0,0.0269,248.0,1.0
Czechia,2020-07-12,13115.0,1226.0,8227.0,352.0,0.0268,53.0,0.0
Czechia,2020-07-13,13148.0,1229.0,8229.0,352.0,0.0268,33.0,0.0
Czechia,2020-07-14,13238.0,1238.0,8373.0,353.0,0.0267,90.0,1.0
Czechia,2020-07-15,13341.0,1248.0,8441.0,355.0,0.0266,103.0,2.0
Czechia,2020-07-16,13341.0,1248.0,8441.0,355.0,0.0266,0.0,0.0
Czechia,2020-07-18,13612.0,1273.0,8640.0,355.0,0.0261,271.0,0.0
Czechia,2020-07-19,13855.0,1296.0,8733.0,358.0,0.0258,243.0,3.0
Czechia,2020-07-19,13855.0,1296.0,8733.0,358.0,0.0258,0.0,0.0
Czechia,2020-07-21,14098.0,1318.0,8836.0,359.0,0.0255,243.0,1.0
Czechia,2020-07-22,14324.0,1339.0,8918.0,360.0,0.0251,226.0,1.0
Czechia,2020-07-23,14448.0,1351.0,9075.0,364.0,0.0252,124.0,4.0
Czechia,2020-07-24,14570.0,1362.0,9144.0,364.0,0.025,122.0,0.0
Czechia,2020-07-25,15081.0,1410.0,9422.0,369.0,0.0245,511.0,5.0
Czechia,2020-07-26,15212.0,1422.0,9590.0,368.0,0.0242,131.0,0.0
Czechia,2020-07-27,15324.0,1433.0,11428.0,371.0,0.0242,112.0,3.0
Czechia,2020-07-28,15516.0,1451.0,11315.0,373.0,0.024,192.0,2.0
