Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
India,2020-03-31,1251,0.99,102,32,0.025579536,0,0
India,2020-04-01,1637,1.29,133,38,0.023213194868662187,386,6
India,2020-04-02,1834,1.45,143,41,0.02235550708833152,197,3
India,2020-04-03,2069,1.64,156,53,0.025616239729337846,235,12
India,2020-04-07,4281,3.15,319,111,0.02592852137351086,2212,58
India,2020-04-10,5865,4.31,478,169,0.0288150042625746,1584,58
India,2020-04-11,7447,5.47,643,239,0.03209346045387404,1582,70
India,2020-04-12,7529,5.53,653,242,0.032142382786558635,82,3
India,2020-04-14,10363,7.62,1036,339,0.03271253498021808,2834,97
India,2020-04-17,12759,9.38,1515,420,0.032917940277451214,2396,81
India,2020-04-18,14378,10.57,1992,480,0.033384337181805536,1619,60
India,2020-04-20,17265,12.69,2547,543,0.031450912250217206,2887,63
India,2020-04-22,18985,13.95,3260,603,0.03176191730313405,1720,60
India,2020-04-23,21393,15.72,4258,681,0.031832842518580845,2408,78
India,2020-04-24,23077,16.96,4749,718,0.031113229622567923,1684,37
India,2020-04-25,23452,17.24,4814,723,0.030828927170390583,375,5
India,2020-04-26,24942,18.33,5210,779,0.031232459305588968,1490,56
India,2020-04-27,27892,20.5,6185,872,0.03126344471533056,2950,93
India,2020-04-28,28380,20.86,6362,886,0.031219168428470757,488,14
India,2020-04-29,31332,23.03,7696,1007,0.032139665517681604,2952,121
India,2020-04-30,31332,23.03,7696,1007,0.032139665517681604,0,0
India,2020-05-01,33610,25.0,8373,1075,0.03198452841416245,2278,68
India,2020-05-02,35365,26.0,9065,1152,0.03257457938639898,1755,77
India,2020-05-03,37776,28.0,10018,1223,0.03237505294366794,2411,71
India,2020-05-04,39980,29.0,10633,1301,0.032541270635317664,2204,78
India,2020-05-05,46433,34.0,12727,1568,0.033769086640966554,6453,267
India,2020-05-06,46711,34.0,13161,1583,0.03388923379931922,278,15
India,2020-05-07,49391,36.0,14183,1694,0.034297746553015734,2680,111
India,2020-05-08,52952,39.0,15267,1783,0.033672004834567164,3561,89
India,2020-05-09,56342,41.0,16540,1886,0.03347414007312485,3390,103
India,2020-05-10,62939,46.0,19358,2109,0.033508635345334374,6597,223
India,2020-05-11,67152,49.0,20917,2206,0.032850845842268286,4213,97
India,2020-05-12,70756,52.0,22455,2293,0.03240714568375827,3604,87
India,2020-05-13,74281,55.0,24386,2415,0.03251167862575894,3525,122
India,2020-05-15,78003,57.0,26235,2549,0.0326782303244747,3722,134
India,2020-05-16,81970,60.0,27920,2649,0.032316701232158115,3967,100
India,2020-05-17,85940,63.0,30152,2752,0.032022341168256925,3970,103
India,2020-05-18,90927,67.0,34109,2872,0.031585777601812436,4987,120
India,2020-05-19,96169,71.0,36824,3029,0.03149663613014589,5242,157
India,2020-05-20,101139,74.0,39173,3163,0.03127379151464816,4970,134
India,2020-05-21,106750,78.0,42298,3303,0.030941451990632318,5611,140
India,2020-05-22,118447,87.0,48534,3583,0.030249816373567925,11697,280
India,2020-05-23,125101,92.0,51784,3720,0.029735973333546495,6654,137
India,2020-05-24,125101,92.0,51784,3720,0.029735973333546495,0,0
India,2020-05-25,131868,97.0,54441,3867,0.029324779324779324,6767,147
India,2020-05-26,138845,102.0,57721,4021,0.028960351471064856,6977,154
India,2020-05-27,145380,107.0,60491,4167,0.028662814692529917,6535,146
India,2020-05-28,151767,112.0,64426,4337,0.028576699809576517,6387,170
India,2020-05-29,158333,116.0,67692,4531,0.028616902351373368,6566,194
India,2020-05-30,173763,128.0,82370,4971,0.028607931492895495,15430,440
India,2020-05-31,182143,134.0,86984,5164,0.028351350312666418,8380,193
India,2020-06-01,182143,134.0,86984,5164,0.028351350312666418,0,0
India,2020-06-02,190535,140.0,91819,5394,0.028309759361797044,8392,230
India,2020-06-03,207615,153.0,100303,5815,0.027999999999999997,17080,421
India,2020-06-04,216919,159.0,104107,6075,0.027999999999999997,9304,260
India,2020-06-05,216919,159.0,104107,6075,0.027999999999999997,0,0
India,2020-06-06,226770,167.0,109462,6348,0.027999999999999997,9851,273
India,2020-06-07,236657,174.0,114073,6642,0.0281,9887,294
India,2020-06-08,246628,181.0,119293,6929,0.0281,9971,287
India,2020-06-09,266598,196.0,129215,7466,0.027999999999999997,19970,537
India,2020-06-10,266598,196.0,129314,7471,0.027999999999999997,0,5
India,2020-06-12,286579,211.0,141029,8102,0.0283,19981,631
India,2020-06-13,297535,219.0,147195,8498,0.0286,10956,396
India,2020-06-14,308993,227.0,154330,8884,0.0288,11458,386
India,2020-06-15,320922,236.0,162379,9195,0.0287,11929,311
India,2020-06-16,332424,244.0,169798,9520,0.0286,11502,325
India,2020-06-17,343091,252.0,180013,9900,0.0289,10667,380
India,2020-06-18,366946,270.0,194325,12237,0.0333,23855,2337
India,2020-06-19,366946,270.0,194325,12237,0.0333,0,0
India,2020-06-20,395048,290.0,213831,12948,0.0328,28102,711
India,2020-06-21,395048,290.0,213831,12948,0.0328,0,0
