Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Indonesia,2020-03-31,1414,5.43,75,122,0.086280057,0,0
Indonesia,2020-04-01,1677,6.44,103,157,0.0936195587358378,263,35
Indonesia,2020-04-02,1677,6.44,103,157,0.0936195587358378,0,0
Indonesia,2020-04-03,1790,6.87,112,170,0.09497206703910614,113,13
Indonesia,2020-04-07,2491,9.33,192,209,0.08390204737053393,701,39
Indonesia,2020-04-10,3293,12.34,252,280,0.08502884907379289,802,71
Indonesia,2020-04-11,3512,13.16,282,306,0.08712984054669702,219,26
Indonesia,2020-04-12,3842,14.39,286,327,0.08511192087454451,330,21
Indonesia,2020-04-14,4557,17.07,380,399,0.08755760368663594,715,72
Indonesia,2020-04-17,5516,20.67,548,496,0.08992023205221175,959,97
Indonesia,2020-04-18,6248,23.41,631,535,0.08562740076824582,732,39
Indonesia,2020-04-20,6575,24.63,686,582,0.0885171102661597,327,47
Indonesia,2020-04-22,7135,26.73,842,616,0.08633496846531184,560,34
Indonesia,2020-04-23,7418,27.79,913,635,0.08560258829873281,283,19
Indonesia,2020-04-24,7775,29.13,960,647,0.08321543408360127,357,12
Indonesia,2020-04-25,8211,30.76,1002,689,0.08391182559980515,436,42
Indonesia,2020-04-26,8607,32.25,1042,720,0.08365284071104914,396,31
Indonesia,2020-04-27,8882,33.28,1107,743,0.08365233055618104,275,23
Indonesia,2020-04-28,9096,34.08,1151,765,0.08410290237467019,214,22
Indonesia,2020-04-29,9511,35.63,1254,773,0.0812743139522658,415,8
Indonesia,2020-04-30,9511,35.63,1254,773,0.0812743139522658,0,0
Indonesia,2020-05-01,10118,38.0,1522,792,0.07827633919746986,607,19
Indonesia,2020-05-02,10551,40.0,1591,800,0.07582219694815658,433,8
Indonesia,2020-05-03,10843,41.0,1665,831,0.07663930646500046,292,31
Indonesia,2020-05-04,11192,42.0,1876,845,0.07550035739814152,349,14
Indonesia,2020-05-05,11587,43.0,1954,864,0.07456632432898938,395,19
Indonesia,2020-05-06,12071,45.0,2197,872,0.07223925109767211,484,8
Indonesia,2020-05-07,12438,47.0,2317,895,0.07195690625502492,367,23
Indonesia,2020-05-08,12776,48.0,2381,930,0.07279273638071382,338,35
Indonesia,2020-05-09,13112,49.0,2494,943,0.07191885295912141,336,13
Indonesia,2020-05-10,14032,53.0,2698,973,0.06934150513112884,920,30
Indonesia,2020-05-11,14032,53.0,2698,973,0.06934150513112884,0,0
Indonesia,2020-05-12,14749,55.0,3063,1007,0.0682758153095125,717,34
Indonesia,2020-05-13,15438,58.0,3287,1028,0.06658893639072419,689,21
Indonesia,2020-05-15,16006,60.0,3518,1043,0.06516306385105586,568,15
Indonesia,2020-05-16,16496,62.0,3803,1076,0.06522793404461688,490,33
Indonesia,2020-05-17,17025,64.0,3911,1089,0.0639647577092511,529,13
Indonesia,2020-05-18,17514,66.0,4129,1148,0.06554756195043965,489,59
Indonesia,2020-05-19,18010,67.0,4324,1191,0.06612992781787895,496,43
Indonesia,2020-05-20,18496,69.0,4467,1221,0.06601427335640138,486,30
Indonesia,2020-05-21,19189,72.0,4575,1242,0.06472458179165147,693,21
Indonesia,2020-05-22,20796,78.0,5057,1326,0.06376226197345643,1607,84
Indonesia,2020-05-23,20796,78.0,5057,1326,0.06376226197345643,0,0
Indonesia,2020-05-24,21745,81.0,5249,1351,0.06212922510922051,949,25
Indonesia,2020-05-25,22271,83.0,5402,1372,0.061604777513358175,526,21
Indonesia,2020-05-26,22750,85.0,5642,1391,0.06114285714285715,479,19
Indonesia,2020-05-27,23165,87.0,5877,1418,0.06121303690913015,415,27
Indonesia,2020-05-28,23851,89.0,6057,1473,0.061758416837868424,686,55
Indonesia,2020-05-29,24538,92.0,6240,1496,0.060966663949792166,687,23
Indonesia,2020-05-30,25216,94.0,6492,1520,0.06027918781725888,678,24
Indonesia,2020-05-31,25773,97.0,7015,1573,0.061032863849765265,557,53
Indonesia,2020-06-01,26473,99.0,7308,1613,0.06093000415517698,700,40
Indonesia,2020-06-02,26940,101.0,7637,1641,0.06091314031180401,467,28
Indonesia,2020-06-03,27549,103.0,7935,1663,0.0604,609,22
Indonesia,2020-06-04,28233,106.0,8406,1698,0.0601,684,35
Indonesia,2020-06-05,28818,108.0,8892,1721,0.0597,585,23
Indonesia,2020-06-06,29521,111.0,9443,1770,0.06,703,49
Indonesia,2020-06-07,30514,114.0,9907,1801,0.059000000000000004,993,31
Indonesia,2020-06-08,31186,117.0,10498,1851,0.0594,672,50
Indonesia,2020-06-09,32033,120.0,10904,1883,0.0588,847,32
Indonesia,2020-06-10,33076,124.0,11414,1923,0.0581,1043,40
Indonesia,2020-06-12,35295,132.0,12636,2000,0.0567,2219,77
Indonesia,2020-06-13,36406,136.0,13213,2048,0.0563,1111,48
Indonesia,2020-06-14,37420,140.0,13776,2091,0.0559,1014,43
Indonesia,2020-06-15,38277,143.0,14531,2134,0.0558,857,43
Indonesia,2020-06-16,39294,147.0,15123,2198,0.0559,1017,64
Indonesia,2020-06-17,40400,151.0,15703,2231,0.0552,1106,33
Indonesia,2020-06-18,42762,160.0,16798,2339,0.0547,2362,108
Indonesia,2020-06-19,42762,160.0,16798,2339,0.0547,0,0
Indonesia,2020-06-20,43803,164.0,17349,2373,0.0542,1041,34
Indonesia,2020-06-21,45029,169.0,17883,2429,0.0539,1226,56
Indonesia,2020-06-22,45891,172.0,18404,2465,0.0537,862,36
Indonesia,2020-06-23,46845,176.0,18735,2500,0.0534,954,35
Indonesia,2020-06-24,47896,179.0,19241,2535,0.0529,1051,35
Indonesia,2020-06-25,49009,184.0,19658,2573,0.0525,1113,38
Indonesia,2020-06-26,50187,188.0,20449,2620,0.0522,1178,47
Indonesia,2020-06-27,51427,193.0,21333,2683,0.0522,1240,63
Indonesia,2020-06-28,52812,198.0,21909,2720,0.0515,1385,37
Indonesia,2020-06-29,54010,202.0,22936,2754,0.051,1198,34
Indonesia,2020-06-30,55092,206.0,23800,2805,0.0509,1082,51
Indonesia,2020-07-01,56385,211.0,24806,2876,0.051,1293,71
Indonesia,2020-07-02,57770,216.0,25595,2934,0.0508,1385,58
Indonesia,2020-07-03,59394,223.0,26667,2987,0.0503,1624,53
Indonesia,2020-07-04,60695,227.0,27568,3036,0.05,1301,49
Indonesia,2020-07-05,62142,233.0,28219,3089,0.0497,1447,53
Indonesia,2020-07-06,63749,239.0,29105,3171,0.0497,1607,82
Indonesia,2020-07-07,64958,243.0,29919,3241,0.0499,1209,70
Indonesia,2020-07-07,64958,243.0,29919,3241,0.0499,0,0
