Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Kazakhstan,2020-03-31,325.0,16.71,21.0,1.0,0.003076923,0.0,0.0
Kazakhstan,2020-04-01,336.0,17.27,22.0,2.0,0.005952380952380952,11.0,1.0
Kazakhstan,2020-04-02,386.0,19.84,26.0,3.0,0.007772020725388602,50.0,1.0
Kazakhstan,2020-04-03,423.0,21.75,27.0,3.0,0.007092198581560284,37.0,0.0
Kazakhstan,2020-04-07,662.0,35.45,46.0,6.0,0.00906344410876133,239.0,3.0
Kazakhstan,2020-04-10,781.0,41.82,60.0,8.0,0.010243277848911651,119.0,2.0
Kazakhstan,2020-04-11,812.0,43.48,64.0,10.0,0.012315270935960592,31.0,2.0
Kazakhstan,2020-04-12,865.0,46.32,81.0,10.0,0.011560693641618495,53.0,0.0
Kazakhstan,2020-04-14,1091.0,58.42,138.0,12.0,0.010999083409715857,226.0,2.0
Kazakhstan,2020-04-17,1402.0,75.08,277.0,17.0,0.012125534950071327,311.0,5.0
Kazakhstan,2020-04-18,1593.0,85.3,361.0,17.0,0.010671688637790331,191.0,0.0
Kazakhstan,2020-04-20,1676.0,89.75,401.0,17.0,0.010143198090692123,83.0,0.0
Kazakhstan,2020-04-22,1995.0,106.83,489.0,19.0,0.009523809523809523,319.0,2.0
Kazakhstan,2020-04-23,2135.0,114.33,515.0,19.0,0.008899297423887589,140.0,0.0
Kazakhstan,2020-04-24,2334.0,124.98,568.0,22.0,0.009425878320479864,199.0,3.0
Kazakhstan,2020-04-25,2416.0,129.37,604.0,25.0,0.0103476821192053,82.0,3.0
Kazakhstan,2020-04-26,2601.0,139.28,646.0,25.0,0.009611687812379852,185.0,0.0
Kazakhstan,2020-04-27,2717.0,145.49,682.0,25.0,0.009201324990798673,116.0,0.0
Kazakhstan,2020-04-28,2835.0,151.81,725.0,25.0,0.008818342151675485,118.0,0.0
Kazakhstan,2020-04-29,3027.0,162.09,774.0,25.0,0.008259002312520648,192.0,0.0
Kazakhstan,2020-04-30,3027.0,162.09,774.0,25.0,0.008259002312520648,0.0,0.0
Kazakhstan,2020-05-01,3402.0,182.0,866.0,25.0,0.007348618459729571,375.0,0.0
Kazakhstan,2020-05-02,3597.0,193.0,922.0,25.0,0.006950236308034472,195.0,0.0
Kazakhstan,2020-05-03,3857.0,207.0,995.0,25.0,0.006481721545242417,260.0,0.0
Kazakhstan,2020-05-04,3877.0,208.0,995.0,25.0,0.006448284756254836,20.0,0.0
Kazakhstan,2020-05-05,4121.0,221.0,1173.0,29.0,0.007037126910943946,244.0,4.0
Kazakhstan,2020-05-06,4205.0,225.0,1279.0,29.0,0.006896551724137931,84.0,0.0
Kazakhstan,2020-05-07,4422.0,237.0,1408.0,30.0,0.0067842605156038,217.0,1.0
Kazakhstan,2020-05-08,4578.0,245.0,1518.0,30.0,0.00655307994757536,156.0,0.0
Kazakhstan,2020-05-09,4834.0,259.0,1631.0,31.0,0.006412908564335954,256.0,1.0
Kazakhstan,2020-05-10,5056.0,271.0,1828.0,31.0,0.00613132911392405,222.0,0.0
Kazakhstan,2020-05-11,5126.0,274.0,1941.0,31.0,0.006047600468201328,70.0,0.0
Kazakhstan,2020-05-12,5279.0,283.0,2108.0,32.0,0.006061754120098503,153.0,1.0
Kazakhstan,2020-05-13,5417.0,290.0,2223.0,32.0,0.005907328779767399,138.0,0.0
Kazakhstan,2020-05-15,5571.0,298.0,2531.0,32.0,0.005744031592173757,154.0,0.0
Kazakhstan,2020-05-16,5689.0,305.0,2558.0,34.0,0.005976445772543504,118.0,2.0
Kazakhstan,2020-05-17,5850.0,313.0,2980.0,34.0,0.005811965811965812,161.0,0.0
Kazakhstan,2020-05-18,6157.0,330.0,3256.0,34.0,0.0055221698879324346,307.0,0.0
Kazakhstan,2020-05-19,6440.0,345.0,3469.0,35.0,0.005434782608695652,283.0,1.0
Kazakhstan,2020-05-20,6751.0,362.0,3598.0,35.0,0.005184417123389127,311.0,0.0
,2020-05-21,,,,,,,
Kazakhstan,2020-05-22,7597.0,407.0,3885.0,35.0,0.004607081742793208,,
Kazakhstan,2020-05-23,7597.0,407.0,4096.0,35.0,0.004607081742793208,0.0,0.0
Kazakhstan,2020-05-24,7919.0,424.0,4214.0,35.0,0.004419749968430357,322.0,0.0
Kazakhstan,2020-05-25,8322.0,446.0,4352.0,35.0,0.004205719778899303,403.0,0.0
Kazakhstan,2020-05-26,8531.0,457.0,4515.0,35.0,0.004102684327745868,209.0,0.0
Kazakhstan,2020-05-27,8969.0,480.0,4613.0,37.0,0.004125320548556138,438.0,2.0
Kazakhstan,2020-05-28,9304.0,498.0,4768.0,37.0,0.003976784178847808,335.0,0.0
Kazakhstan,2020-05-29,9576.0,513.0,4900.0,37.0,0.003863826232247285,272.0,0.0
Kazakhstan,2020-05-30,9932.0,532.0,50157.0,37.0,0.0037253322593636725,356.0,0.0
Kazakhstan,2020-05-31,10382.0,556.0,5220.0,38.0,0.003660181082643036,450.0,1.0
Kazakhstan,2020-06-01,10858.0,581.0,5404.0,40.0,0.0036839196905507463,476.0,2.0
Kazakhstan,2020-06-02,11308.0,606.0,5587.0,41.0,0.003625751680226388,450.0,1.0
Kazakhstan,2020-06-03,11796.0,632.0,5941.0,44.0,0.0037,488.0,3.0
Kazakhstan,2020-06-04,12067.0,646.0,6240.0,48.0,0.004,271.0,4.0
Kazakhstan,2020-06-05,12067.0,646.0,6606.0,52.0,0.0043,0.0,4.0
Kazakhstan,2020-06-06,12312.0,659.0,6903.0,52.0,0.0042,245.0,0.0
Kazakhstan,2020-06-07,12511.0,670.0,7135.0,53.0,0.0042,199.0,1.0
Kazakhstan,2020-06-08,12694.0,680.0,7376.0,56.0,0.0044,183.0,3.0
Kazakhstan,2020-06-09,13074.0,700.0,7737.0,58.0,0.0044,380.0,2.0
Kazakhstan,2020-06-10,13074.0,700.0,8015.0,58.0,0.0044,0.0,0.0
Kazakhstan,2020-06-12,13558.0,726.0,8593.0,67.0,0.0049,484.0,9.0
Kazakhstan,2020-06-13,13872.0,743.0,8829.0,67.0,0.0048,314.0,0.0
Kazakhstan,2020-06-14,14238.0,762.0,8829.0,72.0,0.0051,366.0,5.0
Kazakhstan,2020-06-15,14496.0,776.0,9188.0,73.0,0.005,258.0,1.0
Kazakhstan,2020-06-16,14809.0,793.0,9388.0,81.0,0.0055,313.0,8.0
Kazakhstan,2020-06-17,15192.0,814.0,9647.0,88.0,0.0058,383.0,7.0
Kazakhstan,2020-06-18,15877.0,850.0,9902.0,100.0,0.0063,685.0,12.0
Kazakhstan,2020-06-19,15877.0,850.0,10065.0,100.0,0.0063,0.0,0.0
Kazakhstan,2020-06-20,16351.0,876.0,10411.0,113.0,0.0069,474.0,13.0
Kazakhstan,2020-06-21,16779.0,898.0,10671.0,118.0,0.006999999999999999,428.0,5.0
Kazakhstan,2020-06-22,17225.0,922.0,10897.0,120.0,0.006999999999999999,446.0,2.0
Kazakhstan,2020-06-23,17732.0,950.0,11158.0,127.0,0.0072,507.0,7.0
Kazakhstan,2020-06-24,18231.0,976.0,11514.0,134.0,0.0074,499.0,7.0
Kazakhstan,2020-06-25,18765.0,1005.0,11882.0,136.0,0.0072,534.0,2.0
Kazakhstan,2020-06-26,19285.0,1033.0,12220.0,140.0,0.0073,520.0,4.0
Kazakhstan,2020-06-27,19750.0,1058.0,12548.0,150.0,0.0076,465.0,10.0
Kazakhstan,2020-06-28,19750.0,1058.0,12548.0,150.0,0.0076,0.0,0.0
Kazakhstan,2020-06-29,20780.0,1113.0,12824.0,173.0,0.0083,1030.0,23.0
Kazakhstan,2020-06-30,21327.0,1142.0,13008.0,183.0,0.0086,547.0,10.0
