Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Kenya,2020-03-31,50.0,1.03,1.0,1.0,0.02,0.0,0.0
Kenya,2020-04-01,59.0,1.21,1.0,1.0,0.01694915254237288,9.0,0.0
Kenya,2020-04-02,81.0,1.66,3.0,1.0,0.012345679012345678,22.0,0.0
Kenya,2020-04-03,110.0,2.26,4.0,3.0,0.027272727272727268,29.0,2.0
Kenya,2020-04-07,158.0,3.32,4.0,6.0,0.0379746835443038,48.0,3.0
Kenya,2020-04-10,184.0,3.87,12.0,7.0,0.03804347826086957,26.0,1.0
Kenya,2020-04-11,189.0,3.97,22.0,7.0,0.037037037037037035,5.0,0.0
Kenya,2020-04-12,191.0,4.02,22.0,7.0,0.03664921465968586,2.0,0.0
Kenya,2020-04-14,208.0,4.37,40.0,9.0,0.04326923076923077,17.0,2.0
Kenya,2020-04-17,234.0,4.92,53.0,11.0,0.047008547008547015,26.0,2.0
Kenya,2020-04-18,246.0,5.17,53.0,11.0,0.044715447154471545,12.0,0.0
Kenya,2020-04-20,270.0,5.68,67.0,14.0,0.05185185185185185,24.0,3.0
Kenya,2020-04-22,296.0,6.22,74.0,14.0,0.0472972972972973,26.0,0.0
Kenya,2020-04-23,303.0,6.37,83.0,14.0,0.0462046204620462,7.0,0.0
Kenya,2020-04-24,320.0,6.73,89.0,14.0,0.04375,17.0,0.0
Kenya,2020-04-25,336.0,7.06,95.0,14.0,0.04166666666666666,16.0,0.0
Kenya,2020-04-26,343.0,7.21,95.0,14.0,0.040816326530612235,7.0,0.0
Kenya,2020-04-27,355.0,7.46,106.0,14.0,0.03943661971830986,12.0,0.0
Kenya,2020-04-28,363.0,7.63,114.0,14.0,0.03856749311294766,8.0,0.0
Kenya,2020-04-29,374.0,7.86,124.0,14.0,0.0374331550802139,11.0,0.0
Kenya,2020-04-30,374.0,7.86,124.0,14.0,0.0374331550802139,0.0,0.0
Kenya,2020-05-01,396.0,8.0,144.0,17.0,0.04292929292929293,22.0,3.0
Kenya,2020-05-02,411.0,9.0,150.0,21.0,0.051094890510948905,15.0,4.0
Kenya,2020-05-03,435.0,9.0,150.0,22.0,0.05057471264367816,24.0,1.0
Kenya,2020-05-04,435.0,9.0,150.0,22.0,0.05057471264367816,0.0,0.0
Kenya,2020-05-05,490.0,10.0,173.0,24.0,0.048979591836734684,55.0,2.0
Kenya,2020-05-06,535.0,11.0,182.0,24.0,0.04485981308411215,45.0,0.0
Kenya,2020-05-07,582.0,12.0,190.0,26.0,0.044673539518900345,47.0,2.0
Kenya,2020-05-08,607.0,13.0,197.0,29.0,0.04777594728171335,25.0,3.0
Kenya,2020-05-09,621.0,13.0,202.0,29.0,0.046698872785829314,14.0,0.0
Kenya,2020-05-10,649.0,14.0,207.0,30.0,0.046224961479198766,28.0,1.0
Kenya,2020-05-11,672.0,14.0,239.0,32.0,0.047619047619047616,23.0,2.0
Kenya,2020-05-12,700.0,15.0,251.0,33.0,0.047142857142857146,28.0,1.0
