Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Maldives,2020-03-31,17.0,43.94,11.0,0.0,0.0,0.0,0.0
Maldives,2020-04-01,18.0,46.53,13.0,0.0,0.0,1.0,0.0
Maldives,2020-04-02,19.0,49.11,13.0,0.0,0.0,1.0,0.0
Maldives,2020-04-03,19.0,49.11,13.0,0.0,0.0,0.0,0.0
Maldives,2020-04-07,19.0,50.7,13.0,0.0,0.0,0.0,0.0
Maldives,2020-04-10,19.0,50.7,13.0,0.0,0.0,0.0,0.0
Maldives,2020-04-11,19.0,50.7,13.0,0.0,0.0,0.0,0.0
Maldives,2020-04-12,19.0,50.7,13.0,0.0,0.0,0.0,0.0
Maldives,2020-04-14,20.0,53.37,14.0,0.0,0.0,1.0,0.0
Maldives,2020-04-17,25.0,66.71,16.0,0.0,0.0,5.0,0.0
Maldives,2020-04-18,29.0,77.38,16.0,0.0,0.0,4.0,0.0
Maldives,2020-04-20,52.0,138.75,16.0,0.0,0.0,23.0,0.0
Maldives,2020-04-22,86.0,229.47,16.0,0.0,0.0,34.0,0.0
Maldives,2020-04-23,86.0,229.47,16.0,0.0,0.0,0.0,0.0
Maldives,2020-04-24,116.0,309.52,16.0,0.0,0.0,30.0,0.0
Maldives,2020-04-25,116.0,309.52,16.0,0.0,0.0,0.0,0.0
Maldives,2020-04-26,177.0,472.28,17.0,0.0,0.0,61.0,0.0
Maldives,2020-04-27,214.0,571.01,17.0,0.0,0.0,37.0,0.0
Maldives,2020-04-28,228.0,608.37,17.0,0.0,0.0,14.0,0.0
Maldives,2020-04-29,250.0,667.07,17.0,0.0,0.0,22.0,0.0
Maldives,2020-04-30,250.0,667.07,17.0,0.0,0.0,0.0,0.0
Maldives,2020-05-01,396.0,1057.0,17.0,1.0,0.002525252525252525,146.0,1.0
Maldives,2020-05-02,491.0,1310.0,17.0,1.0,0.002036659877800407,95.0,0.0
Maldives,2020-05-03,519.0,1385.0,18.0,1.0,0.0019267822736030828,28.0,0.0
Maldives,2020-05-04,519.0,1385.0,18.0,1.0,0.0019267822736030828,0.0,0.0
Maldives,2020-05-05,541.0,1444.0,18.0,1.0,0.0018484288354898336,22.0,0.0
Maldives,2020-05-06,573.0,1529.0,17.0,1.0,0.0017452006980802793,32.0,0.0
Maldives,2020-05-07,618.0,1649.0,20.0,2.0,0.0032362459546925572,45.0,1.0
Maldives,2020-05-08,648.0,1729.0,20.0,3.0,0.0046296296296296285,30.0,1.0
Maldives,2020-05-09,744.0,1985.0,20.0,3.0,0.004032258064516129,96.0,0.0
Maldives,2020-05-10,766.0,2044.0,20.0,3.0,0.0039164490861618795,22.0,0.0
Maldives,2020-05-11,835.0,2228.0,28.0,3.0,0.003592814371257485,69.0,0.0
Maldives,2020-05-12,862.0,2300.0,29.0,3.0,0.0034802784222737818,27.0,0.0
Maldives,2020-05-13,904.0,2412.0,29.0,3.0,0.00331858407079646,42.0,0.0
Maldives,2020-05-15,982.0,2620.0,45.0,4.0,0.004073319755600814,78.0,1.0
Maldives,2020-05-16,1031.0,2751.0,46.0,4.0,0.003879728419010669,49.0,0.0
Maldives,2020-05-17,1078.0,2876.0,58.0,4.0,0.0037105751391465678,47.0,0.0
Maldives,2020-05-18,1090.0,2908.0,58.0,4.0,0.0036697247706422025,12.0,0.0
Maldives,2020-05-19,1106.0,2951.0,58.0,4.0,0.003616636528028933,16.0,0.0
Maldives,2020-05-20,1143.0,3050.0,91.0,4.0,0.003499562554680665,37.0,0.0
,2020-05-21,,,,,,,
Maldives,2020-05-22,1216.0,3245.0,91.0,4.0,0.003289473684210526,,
Maldives,2020-05-23,1274.0,3399.0,109.0,4.0,0.0031397174254317113,58.0,0.0
Maldives,2020-05-24,1313.0,3503.0,128.0,4.0,0.0030464584920030465,39.0,0.0
Maldives,2020-05-25,1371.0,3658.0,144.0,4.0,0.002917578409919766,58.0,0.0
Maldives,2020-05-26,1395.0,3722.0,144.0,4.0,0.0028673835125448033,24.0,0.0
Maldives,2020-05-27,1438.0,3837.0,197.0,5.0,0.003477051460361613,43.0,1.0
Maldives,2020-05-28,1457.0,3888.0,197.0,5.0,0.003431708991077557,19.0,0.0
Maldives,2020-05-29,1513.0,4037.0,197.0,5.0,0.003304692663582287,56.0,0.0
Maldives,2020-05-30,1591.0,4245.0,197.0,5.0,0.0031426775612822125,78.0,0.0
Maldives,2020-05-31,1672.0,4461.0,393.0,5.0,0.002990430622009569,81.0,0.0
Maldives,2020-06-01,1773.0,4731.0,453.0,5.0,0.0028200789622109413,101.0,0.0
Maldives,2020-06-02,1829.0,4880.0,488.0,6.0,0.0032804811372334607,56.0,1.0
Maldives,2020-06-03,1841.0,4912.0,608.0,7.0,0.0038,12.0,1.0
Maldives,2020-06-04,1850.0,4936.0,644.0,7.0,0.0038,9.0,0.0
Maldives,2020-06-05,1872.0,4995.0,648.0,7.0,0.0037,22.0,0.0
Maldives,2020-06-06,1883.0,5024.0,716.0,7.0,0.0037,11.0,0.0
Maldives,2020-06-07,1901.0,5072.0,763.0,8.0,0.0042,18.0,1.0
Maldives,2020-06-08,1903.0,5078.0,827.0,8.0,0.0042,2.0,0.0
Maldives,2020-06-09,1916.0,5112.0,925.0,8.0,0.0042,13.0,0.0
Maldives,2020-06-10,1942.0,5182.0,1010.0,8.0,0.0041,26.0,0.0
Maldives,2020-06-12,1976.0,5272.0,1153.0,8.0,0.004,34.0,0.0
Maldives,2020-06-13,2003.0,5345.0,1193.0,8.0,0.004,27.0,0.0
Maldives,2020-06-14,2013.0,5371.0,1217.0,8.0,0.004,10.0,0.0
Maldives,2020-06-15,2013.0,5371.0,1217.0,8.0,0.004,0.0,0.0
Maldives,2020-06-16,2065.0,5510.0,1540.0,8.0,0.0039,52.0,0.0
Maldives,2020-06-17,2094.0,5587.0,1670.0,8.0,0.0038,29.0,0.0
Maldives,2020-06-18,2120.0,5657.0,1677.0,8.0,0.0038,26.0,0.0
Maldives,2020-06-19,2137.0,5702.0,1759.0,8.0,0.0037,17.0,0.0
Maldives,2020-06-20,2150.0,5737.0,1769.0,8.0,0.0037,13.0,0.0
Maldives,2020-06-21,2187.0,5836.0,1778.0,8.0,0.0037,37.0,0.0
Maldives,2020-06-22,2203.0,5878.0,1803.0,8.0,0.0036,16.0,0.0
Maldives,2020-06-23,2203.0,5878.0,1803.0,8.0,0.0036,0.0,0.0
Maldives,2020-06-24,2238.0,5972.0,1813.0,8.0,0.0036,35.0,0.0
Maldives,2020-06-25,2261.0,6033.0,1839.0,8.0,0.0035,23.0,0.0
Maldives,2020-06-26,2277.0,6076.0,1848.0,8.0,0.0035,16.0,0.0
Maldives,2020-06-27,2283.0,6092.0,1863.0,8.0,0.0035,6.0,0.0
Maldives,2020-06-28,2283.0,6092.0,1863.0,8.0,0.0035,0.0,0.0
Maldives,2020-06-29,2323.0,6198.0,1911.0,8.0,0.0034,40.0,0.0
Maldives,2020-06-30,2337.0,6236.0,1927.0,8.0,0.0034,14.0,0.0
Maldives,2020-07-01,2337.0,6236.0,1927.0,8.0,0.0034,0.0,0.0
Maldives,2020-07-02,2382.0,6356.0,1944.0,9.0,0.0038,45.0,1.0
Maldives,2020-07-03,2382.0,6356.0,1944.0,9.0,0.0038,0.0,0.0
Maldives,2020-07-04,2410.0,6431.0,1976.0,10.0,0.0041,28.0,1.0
Maldives,2020-07-05,2410.0,6431.0,1976.0,10.0,0.0041,0.0,0.0
Maldives,2020-07-06,2469.0,6588.0,2030.0,10.0,0.0041,59.0,0.0
Maldives,2020-07-07,2491.0,6647.0,2113.0,12.0,0.0048,22.0,2.0
