Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Martinique,2020-03-31,93.0,239.62,0.0,1.0,0.010752688,0.0,0.0
Martinique,2020-04-01,119.0,306.61,27.0,2.0,0.01680672268907563,26.0,1.0
Martinique,2020-04-02,131.0,337.53,27.0,3.0,0.022900763358778626,12.0,1.0
Martinique,2020-04-03,131.0,337.53,27.0,3.0,0.022900763358778626,0.0,0.0
Martinique,2020-04-07,149.0,383.91,50.0,4.0,0.026845637583892617,18.0,1.0
Martinique,2020-04-10,154.0,396.8,50.0,6.0,0.03896103896103896,5.0,2.0
Martinique,2020-04-11,155.0,399.37,50.0,6.0,0.03870967741935484,1.0,0.0
Martinique,2020-04-12,155.0,399.37,50.0,6.0,0.03870967741935484,0.0,0.0
Martinique,2020-04-14,157.0,404.53,50.0,8.0,0.050955414012738856,2.0,2.0
Martinique,2020-04-17,158.0,407.1,73.0,8.0,0.05063291139240506,1.0,0.0
Martinique,2020-04-18,158.0,407.1,73.0,8.0,0.05063291139240506,0.0,0.0
Martinique,2020-04-20,163.0,419.99,73.0,12.0,0.0736196319018405,5.0,4.0
Martinique,2020-04-22,163.0,419.99,0.0,12.0,0.0736196319018405,0.0,0.0
Martinique,2020-04-23,163.0,419.99,0.0,14.0,0.08588957055214724,0.0,2.0
Martinique,2020-04-24,164.0,422.56,0.0,14.0,0.08536585365853659,1.0,0.0
Martinique,2020-04-25,170.0,438.02,0.0,14.0,0.08235294117647059,6.0,0.0
Martinique,2020-04-26,170.0,438.02,0.0,14.0,0.08235294117647059,0.0,0.0
Martinique,2020-04-27,170.0,438.02,0.0,14.0,0.08235294117647059,0.0,0.0
Martinique,2020-04-28,170.0,438.02,0.0,14.0,0.08235294117647059,0.0,0.0
Martinique,2020-04-29,175.0,450.9,0.0,14.0,0.08,5.0,0.0
Martinique,2020-04-30,175.0,450.9,0.0,14.0,0.08,0.0,0.0
Martinique,2020-05-01,175.0,451.0,0.0,14.0,0.08,0.0,0.0
Martinique,2020-05-02,178.0,459.0,0.0,14.0,0.07865168539325842,3.0,0.0
Martinique,2020-05-03,179.0,461.0,0.0,14.0,0.0782122905027933,1.0,0.0
Martinique,2020-05-04,179.0,461.0,0.0,14.0,0.0782122905027933,0.0,0.0
Martinique,2020-05-05,181.0,466.0,0.0,14.0,0.07734806629834254,2.0,0.0
Martinique,2020-05-06,178.0,459.0,0.0,14.0,0.07865168539325842,0.0,0.0
Martinique,2020-05-07,175.0,451.0,0.0,14.0,0.08,0.0,0.0
Martinique,2020-05-08,182.0,469.0,0.0,14.0,0.07692307692307693,7.0,0.0
Martinique,2020-05-09,182.0,469.0,0.0,14.0,0.07692307692307693,0.0,0.0
Martinique,2020-05-10,183.0,472.0,0.0,14.0,0.07650273224043716,1.0,0.0
Martinique,2020-05-11,186.0,479.0,0.0,14.0,0.07526881720430108,3.0,0.0
Martinique,2020-05-12,187.0,482.0,0.0,14.0,0.0748663101604278,1.0,0.0
Martinique,2020-05-13,187.0,482.0,0.0,14.0,0.0748663101604278,0.0,0.0
Martinique,2020-05-15,187.0,482.0,0.0,14.0,0.0748663101604278,0.0,0.0
Martinique,2020-05-16,189.0,487.0,0.0,14.0,0.07407407407407407,2.0,0.0
Martinique,2020-05-17,189.0,487.0,0.0,14.0,0.07407407407407407,0.0,0.0
Martinique,2020-05-18,192.0,495.0,0.0,14.0,0.07291666666666667,3.0,0.0
Martinique,2020-05-19,192.0,495.0,0.0,14.0,0.07291666666666667,0.0,0.0
Martinique,2020-05-20,192.0,495.0,0.0,14.0,0.07291666666666667,0.0,0.0
,2020-05-21,,,,,,,
Martinique,2020-05-22,192.0,495.0,0.0,14.0,0.07291666666666667,,
Martinique,2020-05-23,192.0,495.0,0.0,14.0,0.07291666666666667,0.0,0.0
Martinique,2020-05-24,197.0,508.0,0.0,14.0,0.07106598984771574,5.0,0.0
Martinique,2020-05-25,197.0,508.0,0.0,14.0,0.07106598984771574,0.0,0.0
Martinique,2020-05-26,197.0,508.0,0.0,14.0,0.07106598984771574,0.0,0.0
Martinique,2020-05-27,197.0,508.0,0.0,14.0,0.07106598984771574,0.0,0.0
Martinique,2020-05-28,197.0,508.0,0.0,14.0,0.07106598984771574,0.0,0.0
Martinique,2020-05-29,197.0,508.0,0.0,14.0,0.07106598984771574,0.0,0.0
Martinique,2020-05-30,197.0,508.0,0.0,14.0,0.07106598984771574,0.0,0.0
