Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Mauritania,2020-03-31,6.0,1.87,2.0,1.0,0.166666667,0.0,0.0
Mauritania,2020-04-01,6.0,1.87,2.0,1.0,0.16666666666666666,0.0,0.0
Mauritania,2020-04-02,6.0,1.87,2.0,1.0,0.16666666666666666,0.0,0.0
Mauritania,2020-04-03,6.0,1.87,2.0,1.0,0.16666666666666666,0.0,0.0
Mauritania,2020-04-07,6.0,1.47,2.0,1.0,0.16666666666666666,0.0,0.0
Mauritania,2020-04-10,7.0,1.72,2.0,1.0,0.14285714285714285,1.0,0.0
Mauritania,2020-04-11,7.0,1.72,2.0,1.0,0.14285714285714285,0.0,0.0
Mauritania,2020-04-12,7.0,1.72,2.0,1.0,0.14285714285714285,0.0,0.0
Mauritania,2020-04-14,7.0,1.72,2.0,1.0,0.14285714285714285,0.0,0.0
Mauritania,2020-04-17,7.0,1.72,2.0,1.0,0.14285714285714285,0.0,0.0
Mauritania,2020-04-18,7.0,1.72,2.0,1.0,0.14285714285714285,0.0,0.0
Mauritania,2020-04-20,7.0,1.72,2.0,1.0,0.14285714285714285,0.0,0.0
Mauritania,2020-04-22,7.0,1.72,6.0,1.0,0.14285714285714285,0.0,0.0
Mauritania,2020-04-23,7.0,1.72,6.0,1.0,0.14285714285714285,0.0,0.0
Mauritania,2020-04-24,7.0,1.72,6.0,1.0,0.14285714285714285,0.0,0.0
Mauritania,2020-04-25,7.0,1.72,6.0,1.0,0.14285714285714285,0.0,0.0
Mauritania,2020-04-26,7.0,1.72,6.0,1.0,0.14285714285714285,0.0,0.0
Mauritania,2020-04-27,7.0,1.72,6.0,1.0,0.14285714285714285,0.0,0.0
Mauritania,2020-04-28,7.0,1.72,6.0,1.0,0.14285714285714285,0.0,0.0
Mauritania,2020-04-29,7.0,1.72,6.0,1.0,0.14285714285714285,0.0,0.0
Mauritania,2020-04-30,7.0,1.72,6.0,1.0,0.14285714285714285,0.0,0.0
Mauritania,2020-05-01,8.0,2.0,6.0,1.0,0.125,1.0,0.0
Mauritania,2020-05-02,8.0,2.0,6.0,1.0,0.125,0.0,0.0
Mauritania,2020-05-03,8.0,2.0,6.0,1.0,0.125,0.0,0.0
Mauritania,2020-05-04,8.0,2.0,6.0,1.0,0.125,0.0,0.0
Mauritania,2020-05-05,8.0,2.0,6.0,1.0,0.125,0.0,0.0
Mauritania,2020-05-06,8.0,2.0,6.0,1.0,0.125,0.0,0.0
Mauritania,2020-05-07,8.0,2.0,6.0,1.0,0.125,0.0,0.0
Mauritania,2020-05-08,8.0,2.0,6.0,1.0,0.125,0.0,0.0
Mauritania,2020-05-09,8.0,2.0,6.0,1.0,0.125,0.0,0.0
Mauritania,2020-05-10,8.0,2.0,6.0,1.0,0.125,0.0,0.0
Mauritania,2020-05-11,8.0,2.0,6.0,1.0,0.125,0.0,0.0
Mauritania,2020-05-12,8.0,2.0,6.0,1.0,0.125,0.0,0.0
Mauritania,2020-05-13,9.0,2.0,6.0,1.0,0.1111111111111111,1.0,0.0
Mauritania,2020-05-15,20.0,5.0,6.0,2.0,0.1,11.0,1.0
Mauritania,2020-05-16,29.0,7.0,7.0,3.0,0.10344827586206896,9.0,1.0
Mauritania,2020-05-17,29.0,7.0,7.0,3.0,0.10344827586206896,0.0,0.0
Mauritania,2020-05-18,62.0,15.0,6.0,4.0,0.06451612903225806,33.0,1.0
Mauritania,2020-05-19,81.0,20.0,6.0,4.0,0.04938271604938271,19.0,0.0
Mauritania,2020-05-20,131.0,32.0,6.0,4.0,0.03053435114503817,50.0,0.0
,2020-05-21,,,,,,,
Mauritania,2020-05-22,173.0,42.0,6.0,4.0,0.023121387283236997,,
Mauritania,2020-05-23,200.0,49.0,6.0,6.0,0.03,27.0,2.0
Mauritania,2020-05-24,227.0,56.0,6.0,6.0,0.02643171806167401,27.0,0.0
Mauritania,2020-05-25,237.0,58.0,15.0,6.0,0.02531645569620253,10.0,0.0
Mauritania,2020-05-26,262.0,64.0,15.0,9.0,0.03435114503816794,25.0,3.0
Mauritania,2020-05-27,268.0,66.0,15.0,13.0,0.048507462686567165,6.0,4.0
Mauritania,2020-05-28,292.0,72.0,15.0,16.0,0.0547945205479452,24.0,3.0
Mauritania,2020-05-29,346.0,85.0,15.0,19.0,0.05491329479768786,54.0,3.0
Mauritania,2020-05-30,423.0,104.0,21.0,20.0,0.047281323877068564,77.0,1.0
Mauritania,2020-05-31,483.0,118.0,26.0,21.0,0.043478260869565216,60.0,1.0
Mauritania,2020-06-01,530.0,130.0,27.0,23.0,0.04339622641509434,47.0,2.0
Mauritania,2020-06-02,588.0,144.0,36.0,26.0,0.04421768707482993,58.0,3.0
Mauritania,2020-06-03,668.0,164.0,55.0,31.0,0.0464,80.0,5.0
Mauritania,2020-06-04,745.0,183.0,57.0,34.0,0.0456,77.0,3.0
Mauritania,2020-06-05,784.0,192.0,65.0,39.0,0.0497,39.0,5.0
Mauritania,2020-06-06,883.0,217.0,69.0,43.0,0.0487,99.0,4.0
Mauritania,2020-06-07,947.0,232.0,104.0,49.0,0.0517,64.0,6.0
Mauritania,2020-06-08,1048.0,257.0,108.0,55.0,0.0525,101.0,6.0
Mauritania,2020-06-09,1104.0,271.0,119.0,59.0,0.0534,56.0,4.0
Mauritania,2020-06-10,1162.0,285.0,139.0,61.0,0.0525,58.0,2.0
Mauritania,2020-06-12,1439.0,353.0,250.0,74.0,0.0514,277.0,13.0
Mauritania,2020-06-13,1572.0,386.0,278.0,81.0,0.0515,133.0,7.0
Mauritania,2020-06-14,1682.0,413.0,311.0,83.0,0.0493,110.0,2.0
Mauritania,2020-06-15,1682.0,413.0,311.0,83.0,0.0493,0.0,0.0
Mauritania,2020-06-16,1887.0,463.0,360.0,91.0,0.0482,205.0,8.0
