Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Moldova,2020-03-31,298.0,75.9,15.0,2.0,0.006711409000000001,0.0,0.0
Moldova,2020-04-01,328.0,83.54,15.0,3.0,0.009146341463414634,30.0,1.0
Moldova,2020-04-02,423.0,107.73,23.0,5.0,0.011820330969267141,95.0,2.0
Moldova,2020-04-03,505.0,128.62,25.0,6.0,0.01188118811881188,82.0,1.0
Moldova,2020-04-07,965.0,359.84,37.0,19.0,0.019689119170984457,460.0,13.0
Moldova,2020-04-10,1289.0,480.66,50.0,29.0,0.022498060512024826,324.0,10.0
Moldova,2020-04-11,1438.0,536.22,56.0,29.0,0.02016689847009736,149.0,0.0
Moldova,2020-04-12,1560.0,581.71,75.0,30.0,0.019230769230769232,122.0,1.0
Moldova,2020-04-14,1712.0,638.39,107.0,36.0,0.02102803738317757,152.0,6.0
Moldova,2020-04-17,2154.0,803.21,235.0,53.0,0.024605385329619308,442.0,17.0
Moldova,2020-04-18,2264.0,844.23,276.0,55.0,0.024293286219081268,110.0,2.0
Moldova,2020-04-20,2472.0,921.79,457.0,67.0,0.02710355987055016,208.0,12.0
Moldova,2020-04-22,2614.0,974.74,505.0,73.0,0.0279265493496557,142.0,6.0
Moldova,2020-04-23,2778.0,1035.9,560.0,76.0,0.027357811375089996,164.0,3.0
Moldova,2020-04-24,2926.0,1091.08,661.0,80.0,0.02734107997265892,148.0,4.0
Moldova,2020-04-25,3110.0,1159.7,755.0,87.0,0.027974276527331192,184.0,7.0
Moldova,2020-04-26,3304.0,1232.04,825.0,94.0,0.028450363196125907,194.0,7.0
Moldova,2020-04-27,3408.0,1270.82,895.0,96.0,0.028169014084507043,104.0,2.0
Moldova,2020-04-28,3481.0,1298.04,925.0,102.0,0.02930192473427176,73.0,6.0
Moldova,2020-04-29,3638.0,1356.58,975.0,104.0,0.028587135788895,157.0,2.0
Moldova,2020-04-30,3638.0,1356.58,975.0,104.0,0.028587135788895,0.0,0.0
Moldova,2020-05-01,3897.0,1453.0,1182.0,119.0,0.030536309982037463,259.0,15.0
Moldova,2020-05-02,3980.0,1484.0,1272.0,122.0,0.030653266331658293,83.0,3.0
Moldova,2020-05-03,4052.0,1511.0,1334.0,124.0,0.030602171767028633,72.0,2.0
Moldova,2020-05-04,4052.0,1511.0,1334.0,124.0,0.030602171767028633,0.0,0.0
Moldova,2020-05-05,4248.0,1584.0,1423.0,128.0,0.030131826741996232,196.0,4.0
Moldova,2020-05-06,4363.0,1627.0,1544.0,136.0,0.031171212468484987,115.0,8.0
Moldova,2020-05-07,4476.0,1669.0,1658.0,143.0,0.03194816800714924,113.0,7.0
Moldova,2020-05-08,4605.0,1717.0,1747.0,145.0,0.031487513572204126,129.0,2.0
Moldova,2020-05-09,4728.0,1763.0,1826.0,152.0,0.032148900169204735,123.0,7.0
Moldova,2020-05-10,4867.0,1815.0,1925.0,161.0,0.033079926032463534,139.0,9.0
Moldova,2020-05-11,4927.0,1837.0,1958.0,169.0,0.03430079155672823,60.0,8.0
Moldova,2020-05-12,4995.0,1863.0,1980.0,175.0,0.035035035035035036,68.0,6.0
Moldova,2020-05-13,5154.0,1922.0,2069.0,182.0,0.03531237873496314,159.0,7.0
Moldova,2020-05-15,5553.0,2071.0,2228.0,194.0,0.034936070592472536,399.0,12.0
Moldova,2020-05-16,5745.0,2142.0,2280.0,202.0,0.035161009573542214,192.0,8.0
Moldova,2020-05-17,5934.0,2213.0,2344.0,207.0,0.034883720930232565,189.0,5.0
Moldova,2020-05-18,6060.0,2260.0,2408.0,211.0,0.03481848184818482,126.0,4.0
Moldova,2020-05-19,6138.0,2289.0,2425.0,217.0,0.03535353535353535,78.0,6.0
Moldova,2020-05-20,6340.0,2364.0,2508.0,221.0,0.034858044164037864,202.0,4.0
,2020-05-21,,,,,,,
Moldova,2020-05-22,6704.0,2500.0,3389.0,233.0,0.034755369928400955,,
Moldova,2020-05-23,6847.0,2553.0,3369.0,237.0,0.03461369943040748,143.0,4.0
Moldova,2020-05-24,6994.0,2608.0,3452.0,242.0,0.03460108664569631,147.0,5.0
Moldova,2020-05-25,7093.0,2645.0,3713.0,250.0,0.035246017200056386,99.0,8.0
Moldova,2020-05-26,7147.0,2665.0,3802.0,261.0,0.03651881908493074,54.0,11.0
Moldova,2020-05-27,7305.0,2724.0,3884.0,267.0,0.03655030800821355,158.0,6.0
Moldova,2020-05-28,7537.0,2810.0,3975.0,274.0,0.036353986997479104,232.0,7.0
Moldova,2020-05-29,7725.0,2881.0,4123.0,282.0,0.03650485436893204,188.0,8.0
Moldova,2020-05-30,7896.0,2944.0,4278.0,288.0,0.0364741641337386,171.0,6.0
Moldova,2020-05-31,8098.0,3020.0,4455.0,291.0,0.03593479871573228,202.0,3.0
Moldova,2020-06-01,8251.0,3077.0,4581.0,295.0,0.035753242031268936,153.0,4.0
Moldova,2020-06-02,8360.0,3117.0,4622.0,305.0,0.03648325358851675,109.0,10.0
Moldova,2020-06-03,8548.0,3187.0,4738.0,307.0,0.0359,188.0,2.0
Moldova,2020-06-04,8795.0,3280.0,4863.0,310.0,0.0352,247.0,3.0
Moldova,2020-06-05,9018.0,3363.0,5009.0,315.0,0.0349,223.0,5.0
Moldova,2020-06-06,9247.0,3448.0,5240.0,323.0,0.0349,229.0,8.0
Moldova,2020-06-07,9511.0,3547.0,5450.0,331.0,0.0348,264.0,8.0
Moldova,2020-06-08,9700.0,3617.0,5638.0,341.0,0.0352,189.0,10.0
Moldova,2020-06-09,9807.0,3657.0,5738.0,353.0,0.036000000000000004,107.0,12.0
Moldova,2020-06-10,10025.0,3738.0,5797.0,365.0,0.0364,218.0,12.0
Moldova,2020-06-12,10727.0,4000.0,6072.0,375.0,0.035,702.0,10.0
Moldova,2020-06-13,11093.0,4137.0,6229.0,385.0,0.0347,366.0,10.0
Moldova,2020-06-14,11459.0,4273.0,6421.0,398.0,0.0347,366.0,13.0
Moldova,2020-06-15,11740.0,4378.0,6623.0,406.0,0.0346,281.0,8.0
Moldova,2020-06-16,11879.0,4430.0,6794.0,411.0,0.0346,139.0,5.0
Moldova,2020-06-17,12254.0,4569.0,6901.0,423.0,0.0345,375.0,12.0
Moldova,2020-06-18,12732.0,4748.0,7077.0,433.0,0.034,478.0,10.0
Moldova,2020-06-19,13106.0,4887.0,7252.0,444.0,0.0339,374.0,11.0
Moldova,2020-06-20,13556.0,5055.0,7525.0,450.0,0.0332,450.0,6.0
Moldova,2020-06-21,13953.0,5203.0,7745.0,464.0,0.0333,397.0,14.0
Moldova,2020-06-22,14200.0,5295.0,7896.0,473.0,0.0333,247.0,9.0
Moldova,2020-06-23,14363.0,5356.0,8019.0,480.0,0.0334,163.0,7.0
Moldova,2020-06-24,14714.0,5487.0,8212.0,490.0,0.0333,351.0,10.0
