Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewConfirmed,NewDeaths
Pakistan,2020-03-31,1717,8.54,57.0,20,0.011648223999999999,,0,0
Pakistan,2020-04-01,1914,9.52,58.0,26,0.013584117032392894,,197,6
Pakistan,2020-04-02,2110,10.5,82.0,26,0.012322274881516588,,196,0
Pakistan,2020-04-03,2386,11.87,107.0,33,0.013830678960603521,,276,7
Pakistan,2020-04-07,3505,15.99,259.0,51,0.01455064194008559,,1119,18
Pakistan,2020-04-10,4489,20.48,572.0,63,0.014034306081532636,,984,12
Pakistan,2020-04-11,4788,21.85,762.0,71,0.014828738512949037,,299,8
Pakistan,2020-04-12,5011,22.87,762.0,77,0.015366194372380763,,223,6
Pakistan,2020-04-14,5716,26.08,1378.0,96,0.01679496151154654,,705,19
Pakistan,2020-04-17,6919,31.57,1645.0,128,0.01849978320566556,,1203,32
Pakistan,2020-04-18,7481,34.14,1832.0,143,0.01911509156529876,,562,15
Pakistan,2020-04-20,8348,38.09,1868.0,168,0.02012458073790129,,867,25
Pakistan,2020-04-22,9565,43.65,2073.0,201,0.02101411395713539,,1217,33
Pakistan,2020-04-23,10513,47.97,2337.0,224,0.021306953295919338,,948,23
Pakistan,2020-04-24,11155,50.9,2527.0,237,0.02124607799193187,,642,13
Pakistan,2020-04-25,11813,53.9,2755.0,253,0.02141708287479895,,658,16
Pakistan,2020-04-26,12723,58.06,2866.0,269,0.02114281222982001,,910,16
Pakistan,2020-04-27,13323,60.79,3029.0,281,0.021091345792989567,,600,12
Pakistan,2020-04-28,13915,63.5,3029.0,292,0.020984549047790155,,592,11
Pakistan,2020-04-29,14612,66.68,3233.0,312,0.021352313167259787,,697,20
Pakistan,2020-04-30,14612,66.68,3233.0,312,0.021352313167259787,,0,0
Pakistan,2020-05-01,16473,75.0,4105.0,361,0.02191464821222607,,1861,49
Pakistan,2020-05-02,18092,83.0,4351.0,417,0.023048861375193457,,1619,56
Pakistan,2020-05-03,19022,87.0,4753.0,437,0.022973399221953527,,930,20
Pakistan,2020-05-04,19103,87.0,4817.0,440,0.023033031461027063,,81,3
Pakistan,2020-05-05,21501,98.0,5782.0,486,0.022603599832565928,,2398,46
Pakistan,2020-05-06,22049,101.0,5801.0,514,0.023311714816998504,,548,28
Pakistan,2020-05-07,23214,106.0,6281.0,544,0.023434134573963983,,1165,30
Pakistan,2020-05-08,24644,112.0,6464.0,585,0.023738029540658984,,1430,41
Pakistan,2020-05-09,26435,121.0,7530.0,599,0.02265935313031965,,1791,14
Pakistan,2020-05-10,29465,134.0,8023.0,639,0.02168674698795181,,3030,40
Pakistan,2020-05-11,30334,138.0,8063.0,659,0.021724797257203138,,869,20
Pakistan,2020-05-12,32081,146.0,8555.0,706,0.0220067952993984,,1747,47
Pakistan,2020-05-13,34336,157.0,8812.0,737,0.0214643522833178,,2255,31
Pakistan,2020-05-15,35788,163.0,9695.0,770,0.021515591818486644,,1452,33
Pakistan,2020-05-16,38799,177.0,10880.0,834,0.02149539936596304,,3011,64
Pakistan,2020-05-17,38799,177.0,10880.0,834,0.02149539936596304,,0,0
Pakistan,2020-05-18,40151,183.0,11341.0,873,0.021742920475206096,,1352,39
