Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Peru,2020-03-31,950,30.3,322,24,0.025263157999999997,0,0
Peru,2020-04-01,1065,33.97,394,30,0.028169014084507043,115,6
Peru,2020-04-02,1323,42.2,447,47,0.03552532123960695,258,17
Peru,2020-04-03,1414,45.11,537,55,0.038896746817538894,91,8
Peru,2020-04-07,2561,79.7,997,92,0.035923467395548615,1147,37
Peru,2020-04-10,5256,163.58,1438,138,0.02625570776255708,2695,46
Peru,2020-04-11,5897,183.53,1569,169,0.02865863998643378,641,31
Peru,2020-04-12,6848,213.12,1739,181,0.02643107476635514,951,12
Peru,2020-04-14,9784,304.5,2642,216,0.022076860179885527,2936,35
Peru,2020-04-17,12491,388.75,6120,274,0.02193579377151549,2707,58
Peru,2020-04-18,13489,419.81,6541,300,0.022240343983986957,998,26
Peru,2020-04-20,15628,486.38,6811,400,0.025595085743537242,2139,100
Peru,2020-04-22,17837,555.13,6982,484,0.027134607837640858,2209,84
Peru,2020-04-23,19250,599.1,7027,530,0.02753246753246753,1413,46
Peru,2020-04-24,20914,650.89,7422,572,0.027350100411207803,1664,42
Peru,2020-04-25,21648,673.73,7496,634,0.029286770140428683,734,62
Peru,2020-04-26,25331,788.36,7797,700,0.0276341241956496,3683,66
Peru,2020-04-27,27517,856.39,8088,728,0.026456372424319512,2186,28
Peru,2020-04-28,28699,893.18,8425,782,0.027248336178960938,1182,54
Peru,2020-04-29,31190,970.7,9179,854,0.027380570695735813,2491,72
Peru,2020-04-30,31190,970.7,9179,854,0.027380570695735813,0,0
Peru,2020-05-01,36976,1151.0,10405,1051,0.02842384249242752,5786,197
Peru,2020-05-02,40459,1259.0,11129,1124,0.0277812106082701,3483,73
Peru,2020-05-03,42534,1324.0,12434,1200,0.028212723938496262,2075,76
Peru,2020-05-04,42534,1324.0,12434,1200,0.028212723938496262,0,0
Peru,2020-05-05,47372,1474.0,14427,1344,0.028371189732331336,4838,144
Peru,2020-05-06,51189,1593.0,14427,1444,0.028209185567211706,3817,100
Peru,2020-05-07,54817,1706.0,17527,1533,0.02796577703996935,3628,89
Peru,2020-05-08,58526,1821.0,18388,1627,0.02779961042955268,3709,94
Peru,2020-05-09,61847,1925.0,19012,1714,0.02771355118275745,3321,87
Peru,2020-05-10,65015,2023.0,20246,1814,0.02790125355687149,3168,100
Peru,2020-05-11,67307,2095.0,21349,1889,0.02806543153015288,2292,75
Peru,2020-05-12,68822,2142.0,22406,1961,0.02849379558861992,1515,72
Peru,2020-05-13,72059,2243.0,23324,2057,0.028546052540279494,3237,96
