Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Qatar,2020-03-31,693,299.93,15,14,0.02020202,0,0
Qatar,2020-04-01,693,299.93,51,1,0.001443001443001443,0,0
Qatar,2020-04-02,835,361.39,71,2,0.0023952095808383233,142,1
Qatar,2020-04-03,835,361.39,71,2,0.0023952095808383233,0,0
Qatar,2020-04-07,1832,666.84,131,4,0.002183406113537118,997,2
Qatar,2020-04-10,2376,864.85,206,6,0.002525252525252525,544,2
Qatar,2020-04-11,2512,914.36,227,6,0.0023885350318471337,136,0
Qatar,2020-04-12,2728,992.98,247,6,0.00219941348973607,216,0
Qatar,2020-04-14,3231,1176.07,334,7,0.002166511915815537,503,1
Qatar,2020-04-17,4103,1493.48,415,7,0.0017060687301974165,872,0
Qatar,2020-04-18,4663,1697.31,464,7,0.0015011794981771394,560,0
Qatar,2020-04-20,5448,1983.05,518,8,0.0014684287812041115,785,1
Qatar,2020-04-22,6533,2377.99,614,9,0.0013776213072095515,1085,1
Qatar,2020-04-23,7141,2599.3,689,10,0.0014003640946646126,608,1
Qatar,2020-04-24,7764,2826.07,750,10,0.001287995878413189,623,0
Qatar,2020-04-25,8525,3103.07,809,10,0.0011730205278592375,761,0
Qatar,2020-04-26,9358,3406.28,929,10,0.0010686044026501386,833,0
Qatar,2020-04-27,10287,3744.43,1012,10,0.000972100709633518,929,0
Qatar,2020-04-28,11244,4092.77,1066,10,0.0008893632159373886,957,0
Qatar,2020-04-29,11921,4339.2,1134,10,0.0008388558006878617,677,0
Qatar,2020-04-30,11921,4339.2,1134,10,0.0008388558006878617,0,0
Qatar,2020-05-01,13409,4881.0,1372,10,0.0007457677679170706,1488,0
Qatar,2020-05-02,14096,5131.0,1436,12,0.000851305334846765,687,2
Qatar,2020-05-03,14782,5381.0,1534,12,0.0008117981328642943,686,0
Qatar,2020-05-04,14872,5413.0,1534,12,0.0008068854222700376,90,0
Qatar,2020-05-05,16191,5893.0,1810,12,0.0007411524921252547,1319,0
Qatar,2020-05-06,17142,6240.0,1924,12,0.0007000350017500875,951,0
Qatar,2020-05-07,17972,6542.0,2070,12,0.0006677053193857111,830,0
Qatar,2020-05-08,18890,6876.0,2286,12,0.0006352567496029645,918,0
Qatar,2020-05-09,20201,7353.0,2370,12,0.000594029998514925,1311,0
Qatar,2020-05-10,21331,7764.0,2449,13,0.0006094416576813089,1130,1
Qatar,2020-05-11,22520,8197.0,2753,14,0.0006216696269982238,1189,1
Qatar,2020-05-12,23623,8599.0,2840,14,0.0005926427634085424,1103,0
Qatar,2020-05-13,25149,9154.0,3019,14,0.0005566821742415205,1526,0
Qatar,2020-05-15,28272,10291.0,3356,14,0.0004951895868704018,3123,0
Qatar,2020-05-16,29425,10711.0,3546,14,0.00047578589634664404,1153,0
Qatar,2020-05-17,30972,11274.0,3788,15,0.00048430840759395595,1547,1
Qatar,2020-05-18,32604,11868.0,4370,15,0.00046006624953993377,1632,0
Qatar,2020-05-19,33969,12365.0,4899,15,0.00044157908681444853,1365,0
Qatar,2020-05-20,35606,12960.0,5634,15,0.00042127731281244734,1637,0
Qatar,2020-05-21,37097,13503.0,6600,16,0.0004313017225112543,1491,1
Qatar,2020-05-22,38651,14069.0,7288,17,0.00043983338076634504,1554,1
Qatar,2020-05-23,40481,14735.0,7893,19,0.0004693559941701045,1830,2
Qatar,2020-05-24,42213,15365.0,8513,21,0.0004974770805202188,1732,2
Qatar,2020-05-25,43714,15912.0,9170,23,0.0005261472297204557,1501,2
Qatar,2020-05-26,45465,16549.0,9363,26,0.000571868470251842,1751,3
Qatar,2020-05-27,47207,17183.0,11844,28,0.0005931323744359947,1742,2
Qatar,2020-05-28,48947,17817.0,13283,30,0.000612907839091262,1740,2
Qatar,2020-05-29,50914,18532.0,15399,33,0.0006481517853635543,1967,3
Qatar,2020-05-30,52907,19258.0,20604,36,0.0006804392613453796,1993,3
Qatar,2020-05-31,55262,20115.0,25839,36,0.0006514422206941479,2355,0
Qatar,2020-06-01,56910,20715.0,30290,38,0.000667720962923915,1648,2
Qatar,2020-06-02,58433,21269.0,33437,40,0.0006845446922115928,1523,2
Qatar,2020-06-03,60259,21934.0,36036,43,0.0007,1826,3
Qatar,2020-06-04,60259,21934.0,36036,43,0.0007,0,0
Qatar,2020-06-05,63741,23201.0,39468,45,0.0007,3482,2
Qatar,2020-06-06,65495,23840.0,40935,49,0.0007,1754,4
Qatar,2020-06-07,67195,24459.0,42527,51,0.0008,1700,2
Qatar,2020-06-08,68790,25039.0,44338,54,0.0008,1595,3
Qatar,2020-06-09,70158,25537.0,45935,57,0.0008,1368,3
Qatar,2020-06-10,70879,25800.0,47569,62,0.0009,721,5
Qatar,2020-06-12,75071,27326.0,51331,69,0.0009,4192,7
Qatar,2020-06-13,76588,27878.0,53296,70,0.0009,1517,1
Qatar,2020-06-14,78416,28543.0,55252,70,0.0009,1828,0
Qatar,2020-06-15,78416,28543.0,55252,70,0.0009,0,0
Qatar,2020-06-16,80876,29439.0,58681,76,0.0009,2460,6
Qatar,2020-06-17,82077,29876.0,60461,80,0.001,1201,4
Qatar,2020-06-18,83174,30275.0,62172,82,0.001,1097,2
Qatar,2020-06-19,84441,30736.0,63642,86,0.001,1267,4
Qatar,2020-06-20,85462,31108.0,65409,93,0.0011,1021,7
Qatar,2020-06-21,86488,31481.0,66763,94,0.0011,1026,1
Qatar,2020-06-22,87369,31802.0,68319,98,0.0011,881,4
Qatar,2020-06-23,88403,32178.0,69956,99,0.0011,1034,1
Qatar,2020-06-24,89579,32606.0,71501,99,0.0011,1176,0
Qatar,2020-06-25,90778,33043.0,73083,104,0.0011,1199,5
Qatar,2020-06-26,91838,33429.0,74544,106,0.0012,1060,2
Qatar,2020-06-27,92784,33773.0,76072,109,0.0012,946,3
Qatar,2020-06-28,93663,34093.0,77225,110,0.0012,879,1
Qatar,2020-06-29,94413,34366.0,78702,110,0.0012,750,0
Qatar,2020-06-30,95106,34618.0,80178,113,0.0012,693,3
