Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Romania,2020-03-31,2109,98.25,209,65,0.030820293999999998,0,0
Romania,2020-04-01,2460,114.6,252,85,0.03455284552845528,351,20
Romania,2020-04-02,2460,114.6,252,92,0.03739837398373984,0,7
Romania,2020-04-03,2738,127.56,267,115,0.04200146092037984,278,23
Romania,2020-04-07,4057,209.07,406,157,0.03869854572344097,1319,42
Romania,2020-04-10,5202,268.07,528,229,0.04402153018069973,1145,72
Romania,2020-04-11,5467,281.73,729,257,0.04700932869946955,265,28
Romania,2020-04-12,5990,308.68,758,282,0.047078464106844735,523,25
Romania,2020-04-14,6633,341.82,914,318,0.04794210764360018,643,36
Romania,2020-04-17,7707,397.16,1357,392,0.05086285195277021,1074,74
Romania,2020-04-18,8067,415.71,1508,400,0.04958472790380563,360,8
Romania,2020-04-20,8746,450.7,1892,434,0.04962268465584267,679,34
Romania,2020-04-22,9242,476.27,2153,482,0.05215321359013201,496,48
Romania,2020-04-23,9710,500.38,2406,508,0.05231719876416066,468,26
Romania,2020-04-24,10096,520.27,2478,552,0.054675118858954035,386,44
Romania,2020-04-25,10417,536.82,2817,552,0.05299030431026208,321,0
Romania,2020-04-26,10635,548.05,2890,579,0.054442877291960505,218,27
Romania,2020-04-27,11036,568.71,3054,619,0.05608916274012323,401,40
Romania,2020-04-28,11339,584.33,3141,631,0.055648646265102734,303,12
Romania,2020-04-29,11616,598.6,3404,650,0.0559573002754821,277,19
Romania,2020-04-30,11616,598.6,3404,650,0.0559573002754821,0,0
Romania,2020-05-01,12240,631.0,4017,695,0.056781045751633986,624,45
Romania,2020-05-02,12567,648.0,4328,744,0.05920267366913345,327,49
Romania,2020-05-03,12732,656.0,4547,771,0.060556079170593774,165,27
Romania,2020-05-04,13163,678.0,4869,780,0.05925700828078705,431,9
Romania,2020-05-05,13512,696.0,5269,803,0.059428656009473065,349,23
Romania,2020-05-06,13837,713.0,5454,827,0.0597672905976729,325,24
Romania,2020-05-07,14107,727.0,5788,858,0.060820869072091874,270,31
Romania,2020-05-08,14499,747.0,6144,876,0.06041795985930065,392,18
Romania,2020-05-09,14811,763.0,6423,898,0.060630612382688534,312,22
Romania,2020-05-10,15131,780.0,6912,929,0.06139713171634392,320,31
