Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Rwanda,2020-03-31,70.0,6.14,0.0,0.0,0.0,0.0,0.0
Rwanda,2020-04-01,75.0,6.58,0.0,0.0,0.0,5.0,0.0
Rwanda,2020-04-02,82.0,7.19,0.0,0.0,0.0,7.0,0.0
Rwanda,2020-04-03,84.0,7.37,0.0,0.0,0.0,2.0,0.0
Rwanda,2020-04-07,104.0,8.4,4.0,0.0,0.0,20.0,0.0
Rwanda,2020-04-10,113.0,9.13,7.0,0.0,0.0,9.0,0.0
Rwanda,2020-04-11,118.0,9.54,7.0,0.0,0.0,5.0,0.0
Rwanda,2020-04-12,118.0,9.54,7.0,0.0,0.0,0.0,0.0
Rwanda,2020-04-14,127.0,10.26,42.0,0.0,0.0,9.0,0.0
Rwanda,2020-04-17,138.0,11.15,60.0,0.0,0.0,11.0,0.0
Rwanda,2020-04-18,143.0,11.56,65.0,0.0,0.0,5.0,0.0
Rwanda,2020-04-20,147.0,11.88,76.0,0.0,0.0,4.0,0.0
Rwanda,2020-04-22,150.0,12.12,84.0,0.0,0.0,3.0,0.0
Rwanda,2020-04-23,153.0,12.36,84.0,0.0,0.0,3.0,0.0
Rwanda,2020-04-24,154.0,12.45,87.0,0.0,0.0,1.0,0.0
Rwanda,2020-04-25,176.0,14.22,87.0,0.0,0.0,22.0,0.0
Rwanda,2020-04-26,183.0,14.79,88.0,0.0,0.0,7.0,0.0
Rwanda,2020-04-27,191.0,15.44,92.0,0.0,0.0,8.0,0.0
Rwanda,2020-04-28,207.0,16.73,93.0,0.0,0.0,16.0,0.0
Rwanda,2020-04-29,212.0,17.13,95.0,0.0,0.0,5.0,0.0
Rwanda,2020-04-30,212.0,17.13,95.0,0.0,0.0,0.0,0.0
Rwanda,2020-05-01,243.0,20.0,104.0,0.0,0.0,31.0,0.0
Rwanda,2020-05-02,249.0,20.0,109.0,0.0,0.0,6.0,0.0
Rwanda,2020-05-03,255.0,21.0,120.0,0.0,0.0,6.0,0.0
Rwanda,2020-05-04,255.0,21.0,120.0,0.0,0.0,0.0,0.0
Rwanda,2020-05-05,261.0,21.0,128.0,0.0,0.0,6.0,0.0
Rwanda,2020-05-06,261.0,21.0,129.0,0.0,0.0,0.0,0.0
Rwanda,2020-05-07,268.0,22.0,130.0,0.0,0.0,7.0,0.0
Rwanda,2020-05-08,268.0,22.0,130.0,0.0,0.0,0.0,0.0
Rwanda,2020-05-09,273.0,22.0,136.0,0.0,0.0,5.0,0.0
Rwanda,2020-05-10,280.0,23.0,140.0,0.0,0.0,7.0,0.0
Rwanda,2020-05-11,284.0,23.0,140.0,0.0,0.0,4.0,0.0
Rwanda,2020-05-12,285.0,23.0,150.0,0.0,0.0,1.0,0.0
Rwanda,2020-05-13,286.0,23.0,153.0,0.0,0.0,1.0,0.0
Rwanda,2020-05-15,287.0,23.0,168.0,0.0,0.0,1.0,0.0
Rwanda,2020-05-16,287.0,23.0,177.0,0.0,0.0,0.0,0.0
Rwanda,2020-05-17,287.0,23.0,177.0,0.0,0.0,0.0,0.0
Rwanda,2020-05-18,292.0,24.0,197.0,0.0,0.0,5.0,0.0
Rwanda,2020-05-19,297.0,24.0,203.0,0.0,0.0,5.0,0.0
Rwanda,2020-05-20,308.0,25.0,209.0,0.0,0.0,11.0,0.0
,2020-05-21,,,,,,,
Rwanda,2020-05-22,320.0,26.0,217.0,0.0,0.0,,
Rwanda,2020-05-23,321.0,26.0,222.0,0.0,0.0,1.0,0.0
Rwanda,2020-05-24,325.0,26.0,227.0,0.0,0.0,4.0,0.0
Rwanda,2020-05-25,327.0,26.0,237.0,0.0,0.0,2.0,0.0
Rwanda,2020-05-26,327.0,26.0,237.0,0.0,0.0,0.0,0.0
Rwanda,2020-05-27,369.0,30.0,244.0,0.0,0.0,42.0,0.0
Rwanda,2020-05-28,346.0,28.0,245.0,0.0,0.0,0.0,0.0
Rwanda,2020-05-29,349.0,28.0,245.0,0.0,0.0,3.0,0.0
Rwanda,2020-05-30,355.0,29.0,247.0,0.0,0.0,6.0,0.0
Rwanda,2020-05-31,359.0,29.0,250.0,1.0,0.0027855153203342623,4.0,1.0
Rwanda,2020-06-01,370.0,30.0,256.0,1.0,0.0027027027027027033,11.0,0.0
Rwanda,2020-06-02,377.0,30.0,262.0,1.0,0.002652519893899204,7.0,0.0
Rwanda,2020-06-03,384.0,31.0,269.0,1.0,0.0026,7.0,0.0
Rwanda,2020-06-04,397.0,32.0,271.0,2.0,0.005,13.0,1.0
Rwanda,2020-06-05,410.0,33.0,280.0,2.0,0.0049,13.0,0.0
Rwanda,2020-06-06,420.0,34.0,282.0,2.0,0.0048,10.0,0.0
Rwanda,2020-06-07,431.0,35.0,283.0,2.0,0.0046,11.0,0.0
Rwanda,2020-06-08,439.0,35.0,290.0,2.0,0.0046,8.0,0.0
Rwanda,2020-06-09,451.0,36.0,297.0,2.0,0.0044,12.0,0.0
Rwanda,2020-06-10,463.0,37.0,300.0,2.0,0.0043,12.0,0.0
Rwanda,2020-06-12,494.0,40.0,313.0,2.0,0.004,31.0,0.0
Rwanda,2020-06-13,510.0,41.0,321.0,2.0,0.0039,16.0,0.0
Rwanda,2020-06-14,541.0,44.0,332.0,2.0,0.0037,31.0,0.0
Rwanda,2020-06-15,541.0,44.0,332.0,2.0,0.0037,0.0,0.0
Rwanda,2020-06-16,612.0,49.0,338.0,2.0,0.0033,71.0,0.0
Rwanda,2020-06-17,636.0,51.0,338.0,2.0,0.0031,24.0,0.0
Rwanda,2020-06-18,639.0,52.0,347.0,2.0,0.0031,3.0,0.0
Rwanda,2020-06-19,646.0,52.0,350.0,2.0,0.0031,7.0,0.0
Rwanda,2020-06-20,661.0,53.0,351.0,2.0,0.003,15.0,0.0
Rwanda,2020-06-21,702.0,57.0,357.0,2.0,0.0028,41.0,0.0
Rwanda,2020-06-22,728.0,59.0,359.0,2.0,0.0027,26.0,0.0
