Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Saint Lucia,2020-03-31,9.0,54.02,0.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-04-01,13.0,78.03,0.0,0.0,0.0,4.0,0.0
Saint Lucia,2020-04-02,13.0,78.03,0.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-04-03,13.0,78.03,0.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-04-07,14.0,78.35,0.0,0.0,0.0,1.0,0.0
Saint Lucia,2020-04-10,14.0,78.35,0.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-04-11,15.0,83.94,0.0,0.0,0.0,1.0,0.0
Saint Lucia,2020-04-12,15.0,83.94,0.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-04-14,15.0,83.94,0.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-04-17,15.0,83.94,0.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-04-18,15.0,83.94,0.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-04-20,15.0,83.94,0.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-04-22,15.0,83.94,0.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-04-23,15.0,83.94,15.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-04-24,15.0,83.94,15.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-04-25,15.0,83.94,15.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-04-26,15.0,83.94,15.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-04-27,15.0,83.94,15.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-04-28,15.0,83.94,15.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-04-29,15.0,83.94,15.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-04-30,15.0,83.94,15.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-01,17.0,95.0,15.0,0.0,0.0,2.0,0.0
Saint Lucia,2020-05-02,17.0,95.0,15.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-03,17.0,95.0,15.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-04,17.0,95.0,15.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-05,18.0,101.0,15.0,0.0,0.0,1.0,0.0
Saint Lucia,2020-05-06,18.0,101.0,15.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-07,18.0,101.0,15.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-08,18.0,101.0,15.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-09,18.0,101.0,17.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-10,18.0,101.0,17.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-11,18.0,101.0,17.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-12,18.0,101.0,17.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-13,18.0,101.0,17.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-15,18.0,101.0,17.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-16,18.0,101.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-17,18.0,101.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-18,18.0,101.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-19,18.0,101.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-20,18.0,101.0,18.0,0.0,0.0,0.0,0.0
,2020-05-21,,,,,,,
Saint Lucia,2020-05-22,18.0,101.0,18.0,0.0,0.0,,
Saint Lucia,2020-05-23,18.0,101.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-24,18.0,101.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-25,18.0,101.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-26,18.0,101.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-27,18.0,101.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-28,18.0,101.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-29,18.0,101.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-30,18.0,101.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-05-31,18.0,101.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-01,18.0,101.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-02,18.0,101.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-03,18.0,101.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-04,18.0,101.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-05,19.0,106.0,18.0,0.0,0.0,1.0,0.0
Saint Lucia,2020-06-06,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-07,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-08,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-09,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-10,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-12,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-13,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-14,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-15,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-16,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-17,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-18,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-19,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-20,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-21,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-22,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-23,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-24,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-25,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-26,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-27,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-28,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-29,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-06-30,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-01,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-02,19.0,106.0,18.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-03,22.0,123.0,0.0,0.0,0.0,3.0,0.0
Saint Lucia,2020-07-04,22.0,123.0,19.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-05,22.0,123.0,19.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-06,22.0,123.0,19.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-07,22.0,123.0,19.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-09,22.0,123.0,19.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-10,22.0,123.0,19.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-11,22.0,123.0,19.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-12,22.0,123.0,19.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-13,22.0,123.0,19.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-14,22.0,123.0,19.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-15,22.0,123.0,19.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-16,22.0,123.0,19.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-18,23.0,129.0,19.0,0.0,0.0,1.0,0.0
Saint Lucia,2020-07-19,23.0,129.0,19.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-19,23.0,129.0,19.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-21,23.0,129.0,19.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-22,23.0,129.0,19.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-23,23.0,129.0,19.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-24,23.0,129.0,19.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-25,24.0,134.0,22.0,0.0,0.0,1.0,0.0
Saint Lucia,2020-07-26,24.0,134.0,22.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-27,24.0,134.0,22.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-28,24.0,134.0,22.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-29,24.0,134.0,22.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-30,24.0,134.0,22.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-07-31,24.0,134.0,22.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-01,25.0,140.0,22.0,0.0,0.0,1.0,0.0
Saint Lucia,2020-08-02,25.0,140.0,22.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-03,25.0,140.0,22.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-04,25.0,140.0,22.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-05,25.0,140.0,22.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-06,25.0,140.0,22.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-07,25.0,140.0,22.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-08,25.0,140.0,24.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-09,25.0,140.0,24.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-10,25.0,140.0,24.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-11,25.0,140.0,24.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-12,25.0,140.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-13,25.0,140.0,24.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-14,25.0,140.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-15,25.0,140.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-16,25.0,140.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-17,25.0,140.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-18,25.0,140.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-19,26.0,145.0,25.0,0.0,0.0,1.0,0.0
Saint Lucia,2020-08-20,26.0,145.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-22,26.0,145.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-23,26.0,145.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-24,26.0,145.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-25,26.0,145.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-26,26.0,145.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-27,26.0,145.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-28,26.0,145.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-29,26.0,145.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-30,26.0,145.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-08-31,26.0,145.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-09-01,26.0,145.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-09-02,26.0,145.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-09-03,26.0,145.0,25.0,0.0,0.0,0.0,0.0
Saint Lucia,2020-09-04,26.0,145.0,26.0,0.0,0.0,0.0,0.0
