Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Singapore,2020-03-31,879,187.9,228,3,0.003412969,0,0
Singapore,2020-04-01,926,197.95,240,3,0.003239740820734341,47,0
Singapore,2020-04-02,1000,213.77,245,4,0.004,74,1
Singapore,2020-04-03,1049,224.24,266,4,0.0038131553860819827,49,0
Singapore,2020-04-07,1375,241.08,344,6,0.004363636363636364,326,2
Singapore,2020-04-10,1910,334.88,460,6,0.003141361256544503,535,0
Singapore,2020-04-11,2108,369.59,492,7,0.0033206831119544588,198,1
Singapore,2020-04-12,2299,403.08,528,8,0.0034797738147020443,191,1
Singapore,2020-04-14,2918,511.61,586,9,0.003084304318026045,619,1
Singapore,2020-04-17,4427,776.18,683,10,0.00225886604924328,1509,1
Singapore,2020-04-18,5992,1050.56,708,11,0.001835781041388518,1565,1
Singapore,2020-04-20,6588,1155.06,768,11,0.0016697024893746206,596,0
Singapore,2020-04-22,9125,1599.87,839,11,0.0012054794520547946,2537,0
Singapore,2020-04-23,10141,1778.0,896,12,0.0011833152549058279,1016,1
Singapore,2020-04-24,12075,2117.08,924,12,0.0009937888198757764,1934,0
Singapore,2020-04-25,12075,2117.08,956,12,0.0009937888198757764,0,0
Singapore,2020-04-26,12693,2225.44,1002,12,0.0009454029780193807,618,0
Singapore,2020-04-27,14423,2528.75,1060,12,0.0008320044373569993,1730,0
Singapore,2020-04-28,14423,2528.75,1095,14,0.0009706718435831658,0,2
Singapore,2020-04-29,14951,2621.33,1128,14,0.0009363922145675873,528,0
Singapore,2020-04-30,14951,2621.33,1128,14,0.0009363922145675873,0,0
Singapore,2020-05-01,16169,2835.0,1188,15,0.0009277011565341084,1218,1
Singapore,2020-05-02,17101,2998.0,1268,16,0.0009356178001286476,932,1
Singapore,2020-05-03,17548,3077.0,1347,17,0.0009687713699566903,447,1
Singapore,2020-05-04,18205,3192.0,1347,17,0.0009338093930238943,657,0
Singapore,2020-05-05,19410,3403.0,1457,18,0.0009273570324574963,1205,1
