Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewConfirmed,NewDeaths
Sri Lanka,2020-03-31,122.0,5.44,14.0,2.0,0.016393443,,0.0,0.0
Sri Lanka,2020-04-01,142.0,6.33,17.0,2.0,0.014084507042253518,,20.0,0.0
Sri Lanka,2020-04-02,146.0,6.51,21.0,2.0,0.0136986301369863,,4.0,0.0
Sri Lanka,2020-04-03,151.0,6.73,21.0,4.0,0.026490066225165563,,5.0,2.0
Sri Lanka,2020-04-07,178.0,8.16,38.0,5.0,0.02808988764044944,,27.0,1.0
Sri Lanka,2020-04-10,190.0,8.71,49.0,7.0,0.036842105263157884,,12.0,2.0
Sri Lanka,2020-04-11,197.0,9.04,54.0,7.0,0.03553299492385787,,7.0,0.0
Sri Lanka,2020-04-12,198.0,9.08,54.0,7.0,0.03535353535353535,,1.0,0.0
Sri Lanka,2020-04-14,217.0,9.95,56.0,7.0,0.03225806451612903,,19.0,0.0
Sri Lanka,2020-04-17,238.0,10.92,65.0,7.0,0.029411764705882356,,21.0,0.0
Sri Lanka,2020-04-18,244.0,11.19,77.0,7.0,0.02868852459016393,,6.0,0.0
Sri Lanka,2020-04-20,271.0,12.43,96.0,7.0,0.025830258302583026,,27.0,0.0
Sri Lanka,2020-04-22,310.0,14.22,102.0,7.0,0.022580645161290318,,39.0,0.0
Sri Lanka,2020-04-23,330.0,15.14,105.0,7.0,0.021212121212121213,,20.0,0.0
Sri Lanka,2020-04-24,373.0,17.11,107.0,7.0,0.01876675603217158,,43.0,0.0
Sri Lanka,2020-04-25,417.0,19.13,109.0,7.0,0.016786570743405275,,44.0,0.0
Sri Lanka,2020-04-26,452.0,20.73,118.0,7.0,0.015486725663716812,,35.0,0.0
Sri Lanka,2020-04-27,523.0,23.99,120.0,7.0,0.01338432122370937,,71.0,0.0
Sri Lanka,2020-04-28,588.0,26.97,126.0,7.0,0.011904761904761904,,65.0,0.0
Sri Lanka,2020-04-29,619.0,28.39,134.0,7.0,0.011308562197092085,,31.0,0.0
Sri Lanka,2020-04-30,619.0,28.39,134.0,7.0,0.011308562197092085,,0.0,0.0
Sri Lanka,2020-05-01,663.0,30.0,154.0,7.0,0.010558069381598794,,44.0,0.0
Sri Lanka,2020-05-02,690.0,32.0,162.0,7.0,0.010144927536231885,,27.0,0.0
Sri Lanka,2020-05-03,702.0,32.0,172.0,7.0,0.009971509971509971,,12.0,0.0
Sri Lanka,2020-05-04,702.0,32.0,172.0,7.0,0.009971509971509971,,0.0,0.0
Sri Lanka,2020-05-05,751.0,34.0,194.0,8.0,0.010652463382157123,,49.0,1.0
Sri Lanka,2020-05-06,771.0,35.0,213.0,9.0,0.011673151750972765,,20.0,1.0
Sri Lanka,2020-05-07,797.0,37.0,215.0,9.0,0.011292346298619823,,26.0,0.0
Sri Lanka,2020-05-08,823.0,38.0,232.0,9.0,0.010935601458080195,,26.0,0.0
Sri Lanka,2020-05-09,835.0,38.0,240.0,9.0,0.010778443113772455,,12.0,0.0
Sri Lanka,2020-05-10,847.0,39.0,260.0,9.0,0.010625737898465172,,12.0,0.0
Sri Lanka,2020-05-11,856.0,39.0,321.0,9.0,0.010514018691588784,,9.0,0.0
Sri Lanka,2020-05-12,863.0,40.0,343.0,9.0,0.010428736964078795,,7.0,0.0
Sri Lanka,2020-05-13,889.0,41.0,366.0,9.0,0.010123734533183352,,26.0,0.0
Sri Lanka,2020-05-15,925.0,42.0,445.0,9.0,0.00972972972972973,,36.0,0.0
Sri Lanka,2020-05-16,935.0,43.0,477.0,9.0,0.009625668449197863,,10.0,0.0
Sri Lanka,2020-05-17,957.0,44.0,520.0,9.0,0.009404388714733545,,22.0,0.0
Sri Lanka,2020-05-18,981.0,45.0,538.0,9.0,0.009174311926605505,,24.0,0.0
Sri Lanka,2020-05-19,992.0,45.0,551.0,9.0,0.009072580645161293,,11.0,0.0
Sri Lanka,2020-05-20,1023.0,47.0,569.0,9.0,0.00879765395894428,,31.0,0.0
,2020-05-21,,,,,,,,
Sri Lanka,2020-05-22,1048.0,48.0,604.0,9.0,0.008587786259541985,,,
Sri Lanka,2020-05-23,1068.0,49.0,620.0,9.0,0.008426966292134831,,20.0,0.0
Sri Lanka,2020-05-24,1089.0,50.0,660.0,9.0,0.008264462809917356,,21.0,0.0
Sri Lanka,2020-05-25,1141.0,52.0,674.0,9.0,0.007887817703768623,,52.0,0.0
Sri Lanka,2020-05-26,1182.0,54.0,695.0,10.0,0.008460236886632827,,41.0,1.0
