Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Thailand,2020-03-31,1651.0,24.65,324.0,10.0,0.006056935,0.0,0.0
Thailand,2020-04-01,1771.0,26.44,416.0,12.0,0.006775832862789385,120.0,2.0
Thailand,2020-04-02,1771.0,26.44,416.0,12.0,0.006775832862789385,0.0,0.0
Thailand,2020-04-03,1875.0,28.0,505.0,15.0,0.008,104.0,3.0
Thailand,2020-04-07,2220.0,33.39,793.0,26.0,0.011711711711711712,345.0,11.0
Thailand,2020-04-10,2423.0,36.44,940.0,32.0,0.013206768468840282,203.0,6.0
Thailand,2020-04-11,2518.0,37.87,1135.0,35.0,0.013899920571882446,95.0,3.0
Thailand,2020-04-12,2518.0,37.87,1135.0,35.0,0.013899920571882446,0.0,0.0
Thailand,2020-04-14,2613.0,39.3,1405.0,41.0,0.01569077688480674,95.0,6.0
Thailand,2020-04-17,2672.0,40.19,1593.0,46.0,0.01721556886227545,59.0,5.0
Thailand,2020-04-18,2733.0,41.1,1787.0,47.0,0.017197219173069888,61.0,1.0
Thailand,2020-04-20,2765.0,41.59,1928.0,47.0,0.016998191681735986,32.0,0.0
Thailand,2020-04-22,2811.0,42.28,2108.0,48.0,0.01707577374599787,46.0,1.0
Thailand,2020-04-23,2839.0,42.7,2430.0,50.0,0.01761183515322296,28.0,2.0
Thailand,2020-04-24,2854.0,42.92,2490.0,50.0,0.01751927119831815,15.0,0.0
Thailand,2020-04-25,2854.0,42.92,2490.0,50.0,0.01751927119831815,0.0,0.0
Thailand,2020-04-26,2907.0,43.72,2547.0,51.0,0.017543859649122806,53.0,1.0
Thailand,2020-04-27,2931.0,44.08,2609.0,52.0,0.017741385192766974,24.0,1.0
Thailand,2020-04-28,2931.0,44.08,2609.0,52.0,0.017741385192766974,0.0,0.0
Thailand,2020-04-29,2938.0,44.19,2652.0,54.0,0.01837985023825732,7.0,2.0
Thailand,2020-04-30,2938.0,44.19,2652.0,54.0,0.01837985023825732,0.0,0.0
Thailand,2020-05-01,2954.0,44.0,2684.0,54.0,0.01828029790115098,16.0,0.0
Thailand,2020-05-02,2960.0,45.0,2719.0,54.0,0.018243243243243244,6.0,0.0
Thailand,2020-05-03,2966.0,45.0,2732.0,54.0,0.01820633850303439,6.0,0.0
Thailand,2020-05-04,2969.0,45.0,2739.0,54.0,0.018187942068036374,3.0,0.0
Thailand,2020-05-05,2988.0,45.0,2747.0,54.0,0.018072289156626502,19.0,0.0
Thailand,2020-05-06,2988.0,45.0,2747.0,54.0,0.018072289156626502,0.0,0.0
Thailand,2020-05-07,2989.0,45.0,2761.0,55.0,0.018400802944128467,1.0,1.0
Thailand,2020-05-08,2992.0,45.0,2761.0,55.0,0.018382352941176468,3.0,0.0
Thailand,2020-05-09,3000.0,45.0,2784.0,55.0,0.01833333333333333,8.0,0.0
Thailand,2020-05-10,3009.0,45.0,2787.0,56.0,0.018610834164174143,9.0,1.0
Thailand,2020-05-11,3009.0,45.0,2787.0,56.0,0.018610834164174143,0.0,0.0
Thailand,2020-05-12,3015.0,45.0,2796.0,56.0,0.01857379767827529,6.0,0.0
Thailand,2020-05-13,3017.0,45.0,2798.0,56.0,0.018561484918793503,2.0,0.0
Thailand,2020-05-15,3018.0,45.0,2850.0,56.0,0.01855533465871438,1.0,0.0
Thailand,2020-05-16,3025.0,45.0,2854.0,56.0,0.01851239669421488,7.0,0.0
Thailand,2020-05-17,3025.0,45.0,2855.0,56.0,0.01851239669421488,0.0,0.0
