Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Turks and Caicos Islands,2020-03-31,5.0,96.19,0.0,0.0,0.0,0.0,0.0
Turks and Caicos Islands,2020-04-01,5.0,96.19,0.0,0.0,0.0,0.0,0.0
Turks and Caicos Islands,2020-04-02,5.0,96.19,0.0,0.0,0.0,0.0,0.0
Turks and Caicos Islands,2020-04-03,5.0,96.19,0.0,0.0,0.0,0.0,0.0
Turks and Caicos Islands,2020-04-07,8.0,193.38,0.0,1.0,0.125,3.0,1.0
Turks and Caicos Islands,2020-04-10,8.0,193.38,0.0,1.0,0.125,0.0,0.0
Turks and Caicos Islands,2020-04-11,8.0,193.38,0.0,1.0,0.125,0.0,0.0
Turks and Caicos Islands,2020-04-12,8.0,193.38,0.0,1.0,0.125,0.0,0.0
Turks and Caicos Islands,2020-04-14,8.0,193.38,0.0,1.0,0.125,0.0,0.0
,2020-04-17,,,,,,,
,2020-04-18,,,,,,,
,2020-04-20,,,,,,,
,2020-04-22,,,,,,,
,2020-04-23,,,,,,,
,2020-04-24,,,,,,,
,2020-04-25,,,,,,,
,2020-04-26,,,,,,,
,2020-04-27,,,,,,,
,2020-04-28,,,,,,,
,2020-04-29,,,,,,,
,2020-04-30,,,,,,,
,2020-05-01,,,,,,,
,2020-05-02,,,,,,,
,2020-05-03,,,,,,,
,2020-05-04,,,,,,,
,2020-05-05,,,,,,,
,2020-05-06,,,,,,,
,2020-05-07,,,,,,,
,2020-05-08,,,,,,,
,2020-05-09,,,,,,,
,2020-05-10,,,,,,,
Turks and Caicos Islands,2020-05-11,0.0,0.0,0.0,0.0,,,
Turks and Caicos Islands,2020-05-12,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-05-13,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-05-15,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-05-16,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-05-17,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-05-18,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-05-19,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-05-20,0.0,0.0,0.0,0.0,,0.0,0.0
,2020-05-21,,,,,,,
Turks and Caicos Islands,2020-05-22,0.0,0.0,0.0,0.0,,,
Turks and Caicos Islands,2020-05-23,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-05-24,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-05-25,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-05-26,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-05-27,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-05-28,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-05-29,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-05-30,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-05-31,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-01,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-02,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-03,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-04,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-05,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-06,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-07,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-08,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-09,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-10,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-12,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-13,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-14,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-15,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-16,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-17,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-18,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-19,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-20,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-21,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-22,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-23,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-24,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-25,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-26,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-27,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-28,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-29,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-06-30,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-07-01,0.0,0.0,0.0,0.0,,0.0,0.0
Turks and Caicos Islands,2020-07-02,41.0,991.0,11.0,2.0,0.0488,41.0,2.0
Turks and Caicos Islands,2020-07-03,44.0,1064.0,11.0,2.0,0.0455,3.0,0.0
Turks and Caicos Islands,2020-07-04,44.0,1064.0,11.0,2.0,0.0455,0.0,0.0
Turks and Caicos Islands,2020-07-05,45.0,1088.0,11.0,2.0,0.0444,1.0,0.0
Turks and Caicos Islands,2020-07-06,47.0,1136.0,11.0,2.0,0.0426,2.0,0.0
Turks and Caicos Islands,2020-07-07,48.0,1160.0,11.0,2.0,0.0417,1.0,0.0
Turks and Caicos Islands,2020-07-09,55.0,1329.0,11.0,2.0,0.0364,7.0,0.0
Turks and Caicos Islands,2020-07-10,55.0,1329.0,11.0,2.0,0.0364,0.0,0.0
Turks and Caicos Islands,2020-07-11,66.0,1595.0,11.0,2.0,0.0303,11.0,0.0
Turks and Caicos Islands,2020-07-12,69.0,1668.0,11.0,2.0,0.028999999999999998,3.0,0.0
Turks and Caicos Islands,2020-07-13,71.0,1716.0,12.0,2.0,0.0282,2.0,0.0
Turks and Caicos Islands,2020-07-14,72.0,1740.0,12.0,2.0,0.0278,1.0,0.0
Turks and Caicos Islands,2020-07-15,72.0,1740.0,12.0,2.0,0.0278,0.0,0.0
Turks and Caicos Islands,2020-07-16,72.0,1740.0,12.0,2.0,0.0278,0.0,0.0
Turks and Caicos Islands,2020-07-18,74.0,1789.0,12.0,2.0,0.027000000000000003,2.0,0.0
Turks and Caicos Islands,2020-07-19,75.0,1813.0,12.0,2.0,0.0267,1.0,0.0
Turks and Caicos Islands,2020-07-19,75.0,1813.0,22.0,2.0,0.0267,0.0,0.0
