Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
United States,2020-03-31,163479,499.8,5604,3146,0.019244062,0,0
United States,2020-04-01,189445,579.19,7082,4075,0.02151020084985088,25966,929
United States,2020-04-02,216154,660.85,8878,5115,0.023663684225135786,26709,1040
United States,2020-04-03,244826,748.51,10403,6059,0.024748188509390343,28672,944
United States,2020-04-07,363820,1103.97,19287,10768,0.02959705348798856,118994,4709
United States,2020-04-10,468703,1422.22,25900,16679,0.03558543469958588,104883,5911
United States,2020-04-11,504780,1531.7,28993,18763,0.03717064859938983,36077,2084
United States,2020-04-12,528275,1602.99,30982,20395,0.0386067862382282,23495,1632
United States,2020-04-14,587337,1782.2,44207,23649,0.04026478835830196,59062,3254
United States,2020-04-17,672931,2041.93,54594,34386,0.05109884965917754,85594,10737
United States,2020-04-18,712184,2161.04,59532,32823,0.046087808768520484,39253,0
United States,2020-04-20,764177,2318.81,70172,40591,0.05311727518624612,51993,7768
United States,2020-04-22,823081,2497.54,75025,45065,0.054751597959374586,58904,4474
United States,2020-04-23,855255,2595.17,78340,47973,0.05609204272409983,32174,2908
United States,2020-04-24,890027,2700.68,82843,50372,0.05659603585059779,34772,2399
United States,2020-04-25,921958,2797.57,99330,52202,0.05662080051368935,31931,1830
United States,2020-04-26,956375,2902.01,102340,53928,0.05638792314730101,34417,1726
United States,2020-04-27,985975,2991.83,109311,55417,0.05620527903851517,29600,1489
United States,2020-04-28,1007940,3058.48,113379,56468,0.05602317598269738,21965,1051
United States,2020-04-29,1034588,3139.34,118103,58955,0.056984036157388264,26648,2487
United States,2020-04-30,1034588,3139.34,118103,58955,0.056984036157388264,0,0
United States,2020-05-01,1092328,3315.0,128436,63538,0.05816751012516388,57740,4583
United States,2020-05-02,1128460,3424.0,137944,65435,0.0579861049571983,36132,1897
United States,2020-05-03,1155708,3507.0,1510397,66905,0.057890920543943625,27248,1470
United States,2020-05-04,1158536,3515.0,151502,67067,0.057889439775716936,2828,162
United States,2020-05-05,1208674,3668.0,159936,69680,0.05764995358549947,50138,2613
United States,2020-05-06,1233146,3742.0,163841,71921,0.058323183142953074,24472,2241
United States,2020-05-07,1256652,3813.0,170571,74347,0.0591627594592616,23506,2426
