Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Uzbekistan,2020-03-31,150.0,5.54,7.0,2.0,0.013333333000000001,0.0,0.0
Uzbekistan,2020-04-01,167.0,6.17,7.0,2.0,0.011976047904191616,17.0,0.0
Uzbekistan,2020-04-02,181.0,6.69,12.0,2.0,0.011049723756906077,14.0,0.0
Uzbekistan,2020-04-03,205.0,7.57,25.0,2.0,0.00975609756097561,24.0,0.0
Uzbekistan,2020-04-07,397.0,11.64,30.0,2.0,0.005037783375314861,192.0,0.0
Uzbekistan,2020-04-10,582.0,17.07,38.0,3.0,0.005154639175257732,185.0,1.0
Uzbekistan,2020-04-11,624.0,18.3,38.0,3.0,0.004807692307692308,42.0,0.0
Uzbekistan,2020-04-12,767.0,22.49,42.0,3.0,0.003911342894393742,143.0,0.0
Uzbekistan,2020-04-14,1054.0,30.91,85.0,4.0,0.003795066413662239,287.0,1.0
Uzbekistan,2020-04-17,1349.0,39.56,107.0,4.0,0.0029651593773165306,295.0,0.0
Uzbekistan,2020-04-18,1450.0,42.52,156.0,4.0,0.0027586206896551718,101.0,0.0
Uzbekistan,2020-04-20,1565.0,45.89,225.0,5.0,0.003194888178913738,115.0,1.0
Uzbekistan,2020-04-22,1678.0,49.2,357.0,6.0,0.003575685339690107,113.0,1.0
Uzbekistan,2020-04-23,1716.0,50.32,450.0,7.0,0.004079254079254079,38.0,1.0
Uzbekistan,2020-04-24,1778.0,52.14,582.0,7.0,0.003937007874015748,62.0,0.0
Uzbekistan,2020-04-25,1804.0,52.9,621.0,8.0,0.004434589800443459,26.0,1.0
Uzbekistan,2020-04-26,1862.0,54.6,707.0,8.0,0.004296455424274973,58.0,0.0
Uzbekistan,2020-04-27,1869.0,54.8,765.0,8.0,0.004280363830925628,7.0,0.0
Uzbekistan,2020-04-28,1904.0,55.83,892.0,8.0,0.004201680672268907,35.0,0.0
Uzbekistan,2020-04-29,1939.0,56.86,958.0,8.0,0.0041258380608561115,35.0,0.0
Uzbekistan,2020-04-30,1939.0,56.86,958.0,8.0,0.0041258380608561115,0.0,0.0
Uzbekistan,2020-05-01,2031.0,60.0,1096.0,9.0,0.004431314623338257,92.0,1.0
Uzbekistan,2020-05-02,2086.0,61.0,1212.0,9.0,0.004314477468839885,55.0,0.0
Uzbekistan,2020-05-03,2118.0,62.0,1271.0,9.0,0.00424929178470255,32.0,0.0
Uzbekistan,2020-05-04,2127.0,62.0,1271.0,9.0,0.0042313117066290545,9.0,0.0
Uzbekistan,2020-05-05,2189.0,64.0,1405.0,10.0,0.0045682960255824575,62.0,1.0
Uzbekistan,2020-05-06,2204.0,65.0,1501.0,10.0,0.004537205081669693,15.0,0.0
Uzbekistan,2020-05-07,2233.0,65.0,1577.0,10.0,0.0044782803403493054,29.0,0.0
Uzbekistan,2020-05-08,2298.0,67.0,1656.0,10.0,0.004351610095735422,65.0,0.0
Uzbekistan,2020-05-09,2325.0,68.0,1775.0,10.0,0.004301075268817204,27.0,0.0
Uzbekistan,2020-05-10,2387.0,70.0,1856.0,10.0,0.0041893590280687055,62.0,0.0
Uzbekistan,2020-05-11,2418.0,71.0,1881.0,10.0,0.00413564929693962,31.0,0.0
Uzbekistan,2020-05-12,2509.0,74.0,1988.0,10.0,0.0039856516540454365,91.0,0.0
Uzbekistan,2020-05-13,2568.0,75.0,2046.0,10.0,0.003894080996884735,59.0,0.0
Uzbekistan,2020-05-15,2645.0,78.0,2136.0,11.0,0.004158790170132325,77.0,1.0
Uzbekistan,2020-05-16,2686.0,79.0,2158.0,11.0,0.004095309009679821,41.0,0.0
Uzbekistan,2020-05-17,2738.0,80.0,2213.0,11.0,0.004017531044558071,52.0,0.0
Uzbekistan,2020-05-18,2753.0,81.0,2247.0,12.0,0.004358881220486742,15.0,1.0
Uzbekistan,2020-05-19,2791.0,82.0,2314.0,13.0,0.004657828735220351,38.0,1.0
Uzbekistan,2020-05-20,2855.0,84.0,2338.0,13.0,0.004553415061295972,64.0,0.0
,2020-05-21,,,,,,,
Uzbekistan,2020-05-22,2967.0,87.0,2407.0,13.0,0.004381530165149983,,
Uzbekistan,2020-05-23,3028.0,89.0,2492.0,13.0,0.0042932628797886395,61.0,0.0
Uzbekistan,2020-05-24,3115.0,91.0,2532.0,13.0,0.004173354735152488,87.0,0.0
Uzbekistan,2020-05-25,3164.0,93.0,2565.0,13.0,0.0041087231352718075,49.0,0.0
Uzbekistan,2020-05-26,3215.0,94.0,2607.0,13.0,0.004043545878693624,51.0,0.0
Uzbekistan,2020-05-27,3290.0,96.0,2636.0,14.0,0.00425531914893617,75.0,1.0
Uzbekistan,2020-05-28,3369.0,99.0,2668.0,14.0,0.004155535767289997,79.0,0.0
Uzbekistan,2020-05-29,3444.0,101.0,2694.0,14.0,0.0040650406504065045,75.0,0.0
Uzbekistan,2020-05-30,3488.0,102.0,2728.0,14.0,0.004013761467889909,44.0,0.0
Uzbekistan,2020-05-31,3546.0,104.0,2783.0,14.0,0.003948110547095319,58.0,0.0
Uzbekistan,2020-06-01,3623.0,106.0,2837.0,15.0,0.004140215291195142,77.0,1.0
Uzbekistan,2020-06-02,3702.0,109.0,2859.0,15.0,0.004051863857374392,79.0,0.0
Uzbekistan,2020-06-03,3760.0,110.0,2908.0,15.0,0.004,58.0,0.0
Uzbekistan,2020-06-04,3874.0,114.0,3014.0,16.0,0.0041,114.0,1.0
Uzbekistan,2020-06-05,3939.0,116.0,3087.0,16.0,0.0041,65.0,0.0
